Galaxy_ID,N_points,Has_bulge,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,chi2_reduced_nuisance_GOD,Yd_fit,Yb_fit,fd_fit,RMS_pct_strict,a0_m_s2
NGC4183,23,0,15.6968,21.2118,2.2209,0.65,0.7,1.05,16.29,1.042115e-10
NGC4214,14,0,1.4027,1.2334,1.491,0.95,0.7,0.85,14.46,1.042115e-10
NGC4217,19,1,154.6466,166.5521,1.877,1.15,0.35,0.85,34.91,1.042115e-10
NGC4389,6,0,152.786,162.0559,4.9525,0.35,0.7,1.025,55.19,1.042115e-10
NGC4559,32,0,64.6137,78.7084,0.9994,0.55,0.7,1.075,26.64,1.042115e-10
NGC5005,18,1,21.3601,22.5082,0.0991,0.75,0.65,1.0,23.18,1.042115e-10
NGC5033,22,1,99.5023,140.7885,7.4895,0.95,0.35,1.15,16.77,1.042115e-10
NGC5055,28,0,3400.1038,3722.3247,24.7269,0.55,0.7,0.85,30.32,1.042115e-10
NGC5371,19,0,899.4603,1013.064,50.9731,0.55,0.7,1.05,29.67,1.042115e-10
NGC5585,24,0,123.1082,146.7588,7.7905,0.55,0.7,0.85,26.86,1.042115e-10
NGC5907,19,0,395.6842,505.4064,18.883,0.75,0.7,1.15,17.85,1.042115e-10
NGC5985,33,1,22.0414,20.2423,7.3717,0.95,1.75,0.925,13.13,1.042115e-10
NGC6015,44,0,70.9182,93.2132,10.6386,0.85,0.7,1.15,12.71,1.042115e-10
NGC6195,23,1,204.5155,228.1672,2.5801,0.45,0.85,1.1,26.37,1.042115e-10
NGC6503,31,0,185.2183,258.3111,4.8328,0.75,0.7,1.0,15.5,1.042115e-10
NGC6674,15,1,137.4024,213.4969,7.5366,0.75,1.65,1.125,9.59,1.042115e-10
NGC6789,4,0,3.2929,2.8319,8.8541,0.85,0.7,0.9,32.35,1.042115e-10
NGC6946,58,1,481.0098,545.9061,1.6166,0.65,0.75,1.025,25.62,1.042115e-10
NGC7331,36,1,493.3786,557.2864,2.7357,0.65,0.25,1.0,27.78,1.042115e-10
NGC7793,46,0,11.2474,13.414,0.88,0.65,0.7,0.85,24.81,1.042115e-10
NGC7814,18,1,17.2394,23.4511,2.0691,1.15,0.75,0.85,10.99,1.042115e-10
PGC51017,6,0,173.5693,192.4896,86.4242,0.25,0.7,1.15,53.33,1.042115e-10
UGC00128,22,0,102.4561,173.74,46.1906,0.85,0.7,1.15,11.28,1.042115e-10
UGC00191,9,0,52.5282,78.5686,10.6303,0.75,0.7,1.15,12.63,1.042115e-10
UGC00634,4,0,6.1303,19.1049,1.4651,0.75,0.7,0.875,8.72,1.042115e-10
UGC00731,12,0,11.4531,12.826,9.9934,1.25,0.7,1.15,21.0,1.042115e-10
UGC00891,5,0,46.0034,69.2861,8.5977,0.35,0.7,0.95,21.88,1.042115e-10
UGC01230,11,0,3.7609,4.7372,3.6509,0.75,0.7,1.1,20.64,1.042115e-10
UGC01281,25,0,2.5269,3.3098,0.9206,0.55,0.7,0.9,31.34,1.042115e-10
UGC02023,5,0,5.9942,6.9643,0.7146,0.45,0.7,1.025,40.15,1.042115e-10
UGC02259,8,0,7.5634,5.6163,6.6946,1.05,0.7,0.95,13.74,1.042115e-10
UGC02455,8,0,247.3567,265.2046,11.0316,0.25,0.7,1.15,61.76,1.042115e-10
UGC02487,17,1,5.4452,8.9641,4.652,1.05,1.05,1.15,2.44,1.042115e-10
UGC02885,19,1,18.7136,25.4443,1.1021,0.75,0.95,0.975,13.21,1.042115e-10
UGC02916,43,1,522.3003,571.7723,14.6723,0.95,0.65,0.85,22.43,1.042115e-10
UGC02953,115,1,254.2525,321.4267,7.4958,0.85,0.75,0.875,22.86,1.042115e-10
UGC03205,48,1,71.0046,98.9433,3.8199,0.75,1.05,1.0,12.73,1.042115e-10
UGC03546,30,1,405.1516,497.7653,0.874,0.75,0.65,0.975,26.06,1.042115e-10
UGC03580,47,1,297.7311,342.0822,3.0218,0.65,0.25,0.9,33.76,1.042115e-10
UGC04278,25,0,4.2237,5.3189,2.783,0.75,0.7,0.85,19.51,1.042115e-10
UGC04305,22,0,96.1987,107.4613,30.4737,0.25,0.7,1.15,51.06,1.042115e-10
UGC04325,8,0,8.5007,6.9269,8.1239,1.05,0.7,0.9,15.23,1.042115e-10
UGC04483,8,0,15.5438,19.7764,3.1184,0.25,0.7,1.15,28.5,1.042115e-10
UGC04499,9,0,27.8364,37.0227,2.2029,0.55,0.7,1.1,22.81,1.042115e-10
UGC05005,11,0,5.4412,6.8419,0.3322,0.45,0.7,1.075,29.9,1.042115e-10
UGC05253,73,1,263.2722,300.9782,9.948,0.85,0.75,0.925,17.83,1.042115e-10
UGC05414,6,0,36.1197,45.1447,0.1769,0.45,0.7,1.0,27.02,1.042115e-10
UGC05716,12,0,22.9337,44.3958,10.4476,0.95,0.7,1.15,6.87,1.042115e-10
UGC05721,23,0,5.9017,4.4856,3.0094,1.15,0.7,0.85,18.26,1.042115e-10
UGC05750,11,0,7.2131,8.9435,1.0166,0.45,0.7,1.05,38.3,1.042115e-10
UGC05764,10,0,47.2353,35.5189,9.3596,1.55,0.7,0.85,23.85,1.042115e-10
UGC05829,11,0,4.2685,5.911,1.5042,0.55,0.7,1.125,17.29,1.042115e-10
UGC05918,8,0,2.7465,3.9398,1.0995,0.65,0.7,1.025,13.42,1.042115e-10
UGC05986,15,0,6.563,7.4794,6.8005,0.95,0.7,0.875,11.43,1.042115e-10
UGC05999,5,0,12.3321,16.6341,4.1059,0.55,0.7,1.05,19.94,1.042115e-10
UGC06399,9,0,2.1306,3.7177,0.5098,0.75,0.7,0.875,13.64,1.042115e-10
UGC06446,17,0,1.0172,0.8822,0.793,1.05,0.7,0.975,7.63,1.042115e-10
UGC06614,13,1,34.3243,40.0366,1.271,0.55,0.65,0.95,24.12,1.042115e-10
UGC06628,7,0,26.8507,29.9004,5.729,0.25,0.7,1.125,49.89,1.042115e-10
UGC06667,9,0,18.0446,14.0464,5.6887,1.35,0.7,0.85,30.87,1.042115e-10
UGC06786,45,1,29.0375,25.8371,15.3716,1.05,0.75,0.85,9.68,1.042115e-10
UGC06787,71,1,78.3402,85.2394,26.7926,1.25,0.65,0.95,14.76,1.042115e-10
UGC06818,8,0,21.5172,25.0597,3.3623,0.45,0.7,0.95,34.42,1.042115e-10
UGC06917,11,0,10.0305,14.8262,1.1842,0.75,0.7,0.9,12.71,1.042115e-10
UGC06923,6,0,13.8854,17.3778,1.168,0.55,0.7,0.925,25.41,1.042115e-10
UGC06930,10,0,11.4946,15.589,1.8001,0.65,0.7,1.025,17.65,1.042115e-10
UGC06973,9,1,516.5504,535.1393,19.1849,0.55,0.35,0.85,34.57,1.042115e-10
UGC06983,17,0,1.6805,3.1512,1.2665,0.85,0.7,0.9,9.07,1.042115e-10
UGC07089,12,0,29.1784,34.8016,0.2424,0.45,0.7,1.05,31.48,1.042115e-10
UGC07125,13,0,207.0269,243.0036,50.7925,0.25,0.7,1.15,38.59,1.042115e-10
UGC07151,11,0,29.975,39.472,2.8944,0.75,0.7,1.15,20.0,1.042115e-10
UGC07232,4,0,4.4832,5.3996,3.6663,0.65,0.7,0.95,22.1,1.042115e-10
UGC07261,7,0,4.1751,5.8665,0.7542,0.75,0.7,1.025,14.06,1.042115e-10
UGC07323,10,0,31.0125,37.7533,0.3931,0.55,0.7,0.975,27.92,1.042115e-10
UGC07399,10,0,40.8049,33.4013,5.4708,1.45,0.7,0.85,28.27,1.042115e-10
UGC07524,31,0,15.2904,21.1307,2.7725,0.65,0.7,1.125,17.32,1.042115e-10
UGC07559,7,0,17.6999,20.876,1.8887,0.25,0.7,1.125,39.08,1.042115e-10
UGC07577,9,0,25.0852,27.9119,6.8912,0.25,0.7,1.15,60.38,1.042115e-10
UGC07603,12,0,3.4293,3.6304,3.4886,0.85,0.7,0.85,13.61,1.042115e-10
UGC07608,8,0,0.822,0.5723,1.5803,0.75,0.7,0.875,16.65,1.042115e-10
UGC07690,7,0,9.4382,12.2221,1.8394,0.65,0.7,1.025,19.02,1.042115e-10
UGC07866,7,0,7.8212,9.4731,0.8668,0.35,0.7,1.05,31.35,1.042115e-10
UGC08286,17,0,3.9768,2.4831,2.4753,1.05,0.7,0.95,9.06,1.042115e-10
