# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.231156e+00   2.236439e+01   3.721931e-03   2.475876e-01   8118
  1.244553e+00   2.316866e+01   4.024635e-03   2.478115e-01   8548
  1.258178e+00   2.331537e+01   3.921185e-03   2.520207e-01   8710
  1.271691e+00   2.392849e+01   3.764707e-03   2.585916e-01   8928
  1.285561e+00   2.439484e+01   4.047597e-03   2.617638e-01   9186
  1.298846e+00   2.471262e+01   3.750366e-03   2.654529e-01   9168
  1.312565e+00   2.439627e+01   3.864081e-03   2.503451e-01   9470
  1.325964e+00   2.495644e+01   3.802716e-03   2.586716e-01   9564
  1.339705e+00   2.488385e+01   3.996268e-03   2.501745e-01   10296
  1.353676e+00   2.581333e+01   3.842834e-03   2.542718e-01   9974
  1.366862e+00   2.590097e+01   3.854101e-03   2.573909e-01   10176
  1.380980e+00   2.644648e+01   4.068810e-03   2.546518e-01   11082
  1.394750e+00   2.620087e+01   3.959255e-03   2.615663e-01   10632
  1.408193e+00   2.783655e+01   3.889692e-03   2.723754e-01   10718
  1.421788e+00   2.696833e+01   3.905400e-03   2.530634e-01   11292
  1.435384e+00   2.738308e+01   3.993093e-03   2.602983e-01   11352
  1.449104e+00   2.791204e+01   3.785706e-03   2.604979e-01   11550
  1.462441e+00   2.863806e+01   3.952267e-03   2.660482e-01   11564
  1.476107e+00   2.892632e+01   3.952073e-03   2.706785e-01   12246
  1.489723e+00   3.011321e+01   3.772425e-03   2.813091e-01   12096
  1.503400e+00   2.919832e+01   4.087643e-03   2.587340e-01   12582
  1.516919e+00   2.955002e+01   3.787547e-03   2.677495e-01   12612
  1.530766e+00   3.001027e+01   4.098583e-03   2.693732e-01   13328
  1.544314e+00   3.094792e+01   3.674401e-03   2.816117e-01   12654
  1.557593e+00   3.031388e+01   3.885118e-03   2.669412e-01   13236
  1.571003e+00   3.058000e+01   3.956485e-03   2.658327e-01   13270
  1.584639e+00   3.126769e+01   4.050033e-03   2.627456e-01   14512
  1.598830e+00   3.167595e+01   4.069077e-03   2.685531e-01   14226
  1.612168e+00   3.211724e+01   3.908672e-03   2.700950e-01   14088
  1.625624e+00   3.178457e+01   3.879336e-03   2.607816e-01   14208
  1.639178e+00   3.203485e+01   4.071732e-03   2.621044e-01   15074
  1.652966e+00   3.276735e+01   4.075022e-03   2.657265e-01   15480
  1.666752e+00   3.271251e+01   3.843772e-03   2.728554e-01   14862
  1.679789e+00   3.255644e+01   3.927431e-03   2.649575e-01   15232
  1.693506e+00   3.274714e+01   3.931524e-03   2.589033e-01   16018
  1.706973e+00   3.337823e+01   3.816759e-03   2.629055e-01   15720
  1.720412e+00   3.355236e+01   3.911029e-03   2.619796e-01   16296
  1.734261e+00   3.409311e+01   3.879045e-03   2.606004e-01   17010
  1.747710e+00   3.414801e+01   3.776189e-03   2.688974e-01   16328
  1.761238e+00   3.404433e+01   3.711062e-03   2.610800e-01   17094
  1.774811e+00   3.454962e+01   3.924532e-03   2.628876e-01   17436
  1.788534e+00   3.489843e+01   3.989493e-03   2.657689e-01   17862
  1.802314e+00   3.523888e+01   3.866890e-03   2.604664e-01   18200
  1.816191e+00   3.425639e+01   4.099167e-03   2.536682e-01   18450
  1.829771e+00   3.558675e+01   3.838324e-03   2.661894e-01   18384
  1.843323e+00   3.506536e+01   3.923486e-03   2.588754e-01   18504
  1.856855e+00   3.629418e+01   3.885045e-03   2.603490e-01   19142
  1.870661e+00   3.594727e+01   3.895698e-03   2.602603e-01   19692
  1.884317e+00   3.611353e+01   3.914843e-03   2.658607e-01   19062
  1.897677e+00   3.671483e+01   3.958747e-03   2.623863e-01   20184
  1.911496e+00   3.701710e+01   3.897574e-03   2.716511e-01   19970
  1.924963e+00   3.661466e+01   3.909731e-03   2.591818e-01   20496
  1.938839e+00   3.657764e+01   4.023732e-03   2.508536e-01   21456
  1.952332e+00   3.655991e+01   3.635348e-03   2.598564e-01   19650
  1.965583e+00   3.732939e+01   4.039758e-03   2.514408e-01   22040
  1.979557e+00   3.707272e+01   3.828807e-03   2.548569e-01   21558
  1.993024e+00   3.692930e+01   3.951337e-03   2.533421e-01   21804
  2.006530e+00   3.785389e+01   3.912103e-03   2.579325e-01   21846
  2.020013e+00   3.766413e+01   3.927065e-03   2.514108e-01   22496
  2.033563e+00   3.719183e+01   3.987707e-03   2.446892e-01   22776
  2.047479e+00   3.820235e+01   3.994392e-03   2.512058e-01   23874
  2.061145e+00   3.796930e+01   4.027768e-03   2.511943e-01   23120
  2.074737e+00   3.865823e+01   3.956099e-03   2.509820e-01   23958
  2.088373e+00   3.798691e+01   3.906756e-03   2.452819e-01   23892
  2.101727e+00   3.824431e+01   3.924859e-03   2.495129e-01   23550
  2.115216e+00   3.886510e+01   3.968932e-03   2.463278e-01   25296
  2.128915e+00   3.866226e+01   3.924347e-03   2.493224e-01   24452
  2.142311e+00   3.804623e+01   3.835662e-03   2.425555e-01   25254
  2.156023e+00   3.807040e+01   3.969357e-03   2.379339e-01   26016
  2.169543e+00   3.866886e+01   3.782439e-03   2.446488e-01   25182
  2.183190e+00   3.880426e+01   3.967911e-03   2.322510e-01   27428
  2.197036e+00   3.847189e+01   3.811822e-03   2.362416e-01   25974
  2.210356e+00   3.847295e+01   3.861453e-03   2.371931e-01   26904
  2.223881e+00   3.902685e+01   3.824751e-03   2.399357e-01   26730
  2.237420e+00   3.939069e+01   3.914440e-03   2.400931e-01   27896
  2.251310e+00   3.920350e+01   4.054409e-03   2.321201e-01   28992
  2.265347e+00   4.016181e+01   3.954062e-03   2.411109e-01   28698
  2.278737e+00   3.900542e+01   3.843600e-03   2.325606e-01   27776
  2.292429e+00   3.992462e+01   3.995766e-03   2.357631e-01   29814
  2.306139e+00   3.950133e+01   3.915312e-03   2.324275e-01   29148
  2.319524e+00   3.921316e+01   3.875582e-03   2.312006e-01   28806
  2.333025e+00   3.936603e+01   3.958903e-03   2.267447e-01   30408
  2.346651e+00   3.928167e+01   3.963675e-03   2.275473e-01   30320
  2.360383e+00   3.959740e+01   3.835440e-03   2.276804e-01   30930
  2.374113e+00   3.963823e+01   4.052392e-03   2.209762e-01   31656
  2.387552e+00   3.872168e+01   3.767771e-03   2.255303e-01   30038
  2.401049e+00   3.931856e+01   3.994026e-03   2.182982e-01   32772
  2.414634e+00   3.966514e+01   3.846851e-03   2.280929e-01   30846
  2.428124e+00   3.937427e+01   4.001639e-03   2.191447e-01   33480
  2.441934e+00   3.948858e+01   4.002753e-03   2.206154e-01   32804
  2.455419e+00   3.952177e+01   3.837070e-03   2.197304e-01   32814
  2.469066e+00   3.919163e+01   3.979794e-03   2.125916e-01   34200
  2.482757e+00   3.969957e+01   3.961173e-03   2.183440e-01   33594
  2.496189e+00   3.945902e+01   3.958120e-03   2.155642e-01   34336
  2.509895e+00   3.913706e+01   4.021608e-03   2.139755e-01   34822
  2.523498e+00   3.899095e+01   3.984730e-03   2.074294e-01   35472
  2.537012e+00   3.910915e+01   3.829489e-03   2.134672e-01   34404
  2.550515e+00   3.973083e+01   3.989015e-03   2.103393e-01   36254
  2.564036e+00   3.909598e+01   3.909325e-03   2.070921e-01   35952
  2.577685e+00   3.923454e+01   3.865425e-03   2.053607e-01   36570
  2.591221e+00   3.910936e+01   3.945868e-03   2.057780e-01   37176
  2.604897e+00   3.935157e+01   3.868066e-03   2.065299e-01   37374
  2.618539e+00   3.898113e+01   3.900492e-03   2.031901e-01   38084
  2.632053e+00   3.888643e+01   3.851721e-03   2.020781e-01   37590
  2.645768e+00   3.931461e+01   3.924351e-03   2.006762e-01   39480
  2.659318e+00   3.898479e+01   3.881595e-03   1.997985e-01   38228
  2.672896e+00   3.890231e+01   3.832629e-03   1.979645e-01   39678
  2.686732e+00   3.835421e+01   4.013848e-03   1.932037e-01   40944
  2.700458e+00   3.887189e+01   3.906598e-03   2.003189e-01   39678
  2.713942e+00   3.798987e+01   3.899880e-03   1.936420e-01   40652
  2.727541e+00   3.924345e+01   3.970706e-03   1.966182e-01   40758
  2.741211e+00   3.906354e+01   3.946723e-03   1.911518e-01   42216
  2.754895e+00   3.811262e+01   3.941899e-03   1.888355e-01   41532
  2.768446e+00   3.860357e+01   3.908674e-03   1.870003e-01   42134
  2.781915e+00   3.853622e+01   3.852299e-03   1.873992e-01   42216
  2.795593e+00   3.816047e+01   3.995670e-03   1.845170e-01   43530
  2.809225e+00   3.808495e+01   3.940296e-03   1.833156e-01   43848
  2.822801e+00   3.837949e+01   3.861058e-03   1.874887e-01   42854
  2.836455e+00   3.813006e+01   4.071603e-03   1.785891e-01   46176
  2.850131e+00   3.843593e+01   3.770192e-03   1.853100e-01   43380
  2.863598e+00   3.793028e+01   3.917386e-03   1.804998e-01   45294
  2.877132e+00   3.787335e+01   3.960175e-03   1.778219e-01   45744
  2.890932e+00   3.771514e+01   3.942487e-03   1.765888e-01   46682
  2.904469e+00   3.744293e+01   3.914379e-03   1.773795e-01   45840
  2.918029e+00   3.755565e+01   3.983754e-03   1.742684e-01   47118
  2.931574e+00   3.725909e+01   3.902550e-03   1.731771e-01   46916
  2.945138e+00   3.752578e+01   4.001451e-03   1.732944e-01   48192
  2.959047e+00   3.772963e+01   3.978965e-03   1.714689e-01   49566
  2.972418e+00   3.680736e+01   3.826645e-03   1.747589e-01   46284
  2.985778e+00   3.749943e+01   3.941096e-03   1.715866e-01   49486
  2.999427e+00   3.717773e+01   3.935566e-03   1.672845e-01   49840
  3.013055e+00   3.718003e+01   3.926843e-03   1.673917e-01   49806
  3.026747e+00   3.702500e+01   3.938750e-03   1.654870e-01   51492
  3.040282e+00   3.693445e+01   3.850917e-03   1.708236e-01   49488
  3.053928e+00   3.674394e+01   3.960828e-03   1.627617e-01   53198
  3.067660e+00   3.638892e+01   3.817999e-03   1.626198e-01   51060
  3.081158e+00   3.656170e+01   3.894577e-03   1.641256e-01   52134
  3.094688e+00   3.653753e+01   3.888791e-03   1.604004e-01   52864
  3.108319e+00   3.598649e+01   3.904203e-03   1.585564e-01   52930
  3.121955e+00   3.616982e+01   3.954567e-03   1.576016e-01   54936
  3.135758e+00   3.597973e+01   3.897590e-03   1.580284e-01   53886
  3.149230e+00   3.592879e+01   3.937544e-03   1.563491e-01   54268
  3.162743e+00   3.586409e+01   3.939575e-03   1.544765e-01   55264
  3.176547e+00   3.592820e+01   3.942980e-03   1.516993e-01   56358
  3.190083e+00   3.543836e+01   3.916767e-03   1.520636e-01   55632
  3.203717e+00   3.585692e+01   3.912176e-03   1.517082e-01   56514
  3.217266e+00   3.558789e+01   3.982076e-03   1.506903e-01   57248
  3.230810e+00   3.549491e+01   3.904678e-03   1.524408e-01   56766
  3.244673e+00   3.549402e+01   4.094868e-03   1.481136e-01   60804
  3.258170e+00   3.527010e+01   3.776079e-03   1.513858e-01   55416
  3.271753e+00   3.505333e+01   3.996388e-03   1.438632e-01   61286
  3.285338e+00   3.502730e+01   3.833338e-03   1.488822e-01   57396
  3.298806e+00   3.474195e+01   3.991398e-03   1.436409e-01   60870
  3.312472e+00   3.529398e+01   3.883682e-03   1.456215e-01   60248
  3.326075e+00   3.500327e+01   3.982993e-03   1.437592e-01   60978
  3.339697e+00   3.467114e+01   3.918479e-03   1.406781e-01   62016
  3.353256e+00   3.478810e+01   3.912234e-03   1.432464e-01   60768
  3.366742e+00   3.427566e+01   3.948483e-03   1.380619e-01   62806
  3.380458e+00   3.441811e+01   3.971518e-03   1.387711e-01   63868
  3.394173e+00   3.404207e+01   3.950242e-03   1.381762e-01   63054
  3.407522e+00   3.413204e+01   3.889075e-03   1.379243e-01   63024
  3.421149e+00   3.406587e+01   4.000464e-03   1.361063e-01   64882
  3.434670e+00   3.395483e+01   3.899766e-03   1.349724e-01   64744
  3.448305e+00   3.374793e+01   3.892570e-03   1.357252e-01   65688
  3.461951e+00   3.406383e+01   3.915056e-03   1.357628e-01   65994
  3.475449e+00   3.364415e+01   3.920197e-03   1.323290e-01   66648
  3.489190e+00   3.359565e+01   3.861504e-03   1.315978e-01   67310
