# power spectrum of delta
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   5.416131e-03   0.000000e+00   2.053643e-03   6
  4.442883e-02   2.718179e-02   0.000000e+00   6.036092e-03   12
  5.802164e-02   3.680524e-02   4.165766e-03   7.170300e-03   14
  7.360057e-02   6.670651e-02   3.352421e-03   7.993861e-03   48
  9.270775e-02   7.987178e-02   2.435008e-03   8.845513e-03   42
  1.017704e-01   7.902162e-02   2.424479e-03   1.118736e-02   48
  1.153929e-01   1.149179e-01   2.906092e-03   1.263696e-02   80
  1.307755e-01   1.712917e-01   2.256064e-03   1.443643e-02   90
  1.425441e-01   1.609093e-01   3.543669e-03   1.657327e-02   120
  1.582527e-01   2.044170e-01   2.464158e-03   1.651479e-02   126
  1.688432e-01   2.270101e-01   3.154548e-03   2.056280e-02   152
  1.836782e-01   2.592627e-01   3.159459e-03   1.847255e-02   186
  1.984188e-01   3.018817e-01   4.320525e-03   1.868276e-02   264
  2.103968e-01   3.623922e-01   2.329274e-03   2.689970e-02   168
  2.256796e-01   3.713430e-01   4.166516e-03   2.054451e-02   386
  2.384685e-01   2.973897e-01   2.522415e-03   2.013836e-02   192
  2.510516e-01   4.277755e-01   4.136055e-03   2.082633e-02   390
  2.651879e-01   3.845022e-01   4.330201e-03   2.102783e-02   396
  2.784685e-01   4.801787e-01   4.297623e-03   2.623832e-02   398
  2.930683e-01   4.996778e-01   4.203503e-03   2.026661e-02   576
  3.074355e-01   5.195125e-01   4.268936e-03   2.583814e-02   444
  3.196306e-01   6.517045e-01   3.633305e-03   2.708518e-02   558
  3.339439e-01   6.135766e-01   4.431845e-03   2.508375e-02   680
  3.482695e-01   6.729361e-01   3.737612e-03   2.770346e-02   654
  3.606702e-01   7.195445e-01   3.098283e-03   2.844174e-02   636
  3.744701e-01   7.384705e-01   4.625996e-03   2.541964e-02   822
  3.874721e-01   7.877577e-01   3.413739e-03   2.767098e-02   800
  4.008383e-01   8.290690e-01   3.425402e-03   3.223794e-02   804
  4.144585e-01   8.542678e-01   4.248130e-03   2.972511e-02   1038
  4.276450e-01   9.248509e-01   3.327722e-03   3.051494e-02   936
  4.419378e-01   8.835433e-01   3.846286e-03   2.550331e-02   1130
  4.548921e-01   9.881436e-01   3.615260e-03   3.016916e-02   1104
  4.691124e-01   1.042502e+00   4.008065e-03   3.103359e-02   1230
  4.821164e-01   1.135699e+00   4.056757e-03   3.192344e-02   1260
  4.953275e-01   1.083593e+00   3.524350e-03   2.980217e-02   1286
  5.102690e-01   1.071951e+00   4.314822e-03   2.659462e-02   1728
  5.244277e-01   1.220605e+00   3.776779e-03   3.483227e-02   1392
  5.378841e-01   1.307182e+00   3.611560e-03   3.361378e-02   1626
  5.516772e-01   1.230277e+00   4.176112e-03   3.165549e-02   1760
  5.655257e-01   1.287431e+00   3.476948e-03   3.128679e-02   1686
  5.785810e-01   1.363547e+00   3.624350e-03   3.376330e-02   1812
  5.917556e-01   1.426045e+00   3.946744e-03   3.232334e-02   1814
  6.054204e-01   1.481248e+00   3.824700e-03   3.256488e-02   2208
  6.193001e-01   1.510035e+00   3.672349e-03   3.560541e-02   1956
  6.331106e-01   1.537003e+00   4.113541e-03   3.142021e-02   2454
  6.464857e-01   1.683544e+00   3.232255e-03   3.874305e-02   2016
  6.600246e-01   1.773188e+00   4.250694e-03   3.629231e-02   2570
  6.734642e-01   1.801949e+00   3.674585e-03   3.827535e-02   2400
  6.869599e-01   1.881515e+00   4.165537e-03   3.910471e-02   2526
  7.003842e-01   1.866471e+00   4.183440e-03   3.678132e-02   2840
  7.144275e-01   1.893966e+00   3.954639e-03   3.795920e-02   2820
  7.283394e-01   1.965237e+00   4.001183e-03   3.681586e-02   2958
  7.415388e-01   2.073532e+00   4.046069e-03   3.738878e-02   2976
  7.554540e-01   2.088793e+00   4.042208e-03   3.942509e-02   3186
  7.684962e-01   2.217451e+00   3.846112e-03   4.020500e-02   3128
  7.826392e-01   2.212033e+00   4.125155e-03   3.780593e-02   3606
  7.961215e-01   2.302419e+00   3.786344e-03   4.188882e-02   3276
  8.090174e-01   2.340520e+00   3.971636e-03   4.125577e-02   3480
  8.225598e-01   2.378378e+00   3.784476e-03   3.800763e-02   3758
  8.357786e-01   2.465268e+00   3.799764e-03   4.043407e-02   3744
  8.498520e-01   2.570989e+00   3.854902e-03   4.201745e-02   4170
  8.633049e-01   2.572426e+00   3.798313e-03   4.155606e-02   3984
  8.770071e-01   2.730591e+00   3.926232e-03   4.462946e-02   4334
  8.905275e-01   2.668039e+00   3.529674e-03   4.069343e-02   4284
  9.038804e-01   2.804126e+00   3.916433e-03   4.455621e-02   4374
  9.178385e-01   2.814368e+00   4.059177e-03   3.965133e-02   5016
  9.315884e-01   2.912731e+00   3.852497e-03   4.490712e-02   4580
  9.452952e-01   3.016584e+00   3.966708e-03   4.476980e-02   5142
  9.592763e-01   3.053033e+00   3.910943e-03   4.446939e-02   5184
  9.729633e-01   3.163353e+00   3.939164e-03   4.656236e-02   5058
  9.861190e-01   3.284854e+00   3.769886e-03   4.448816e-02   5384
  1.000186e+00   3.277338e+00   4.035866e-03   4.563311e-02   5622
  1.013753e+00   3.354987e+00   3.904870e-03   4.350319e-02   5736
  1.027283e+00   3.446601e+00   3.647351e-03   4.717882e-02   5612
  1.040858e+00   3.557474e+00   3.845168e-03   4.872843e-02   6054
  1.054301e+00   3.538045e+00   3.830035e-03   4.649606e-02   6096
  1.068351e+00   3.717286e+00   4.010733e-03   4.773243e-02   6474
  1.081347e+00   3.771098e+00   3.667309e-03   4.936854e-02   6024
  1.095246e+00   3.786397e+00   4.065639e-03   4.560329e-02   7070
  1.109016e+00   3.873591e+00   3.717857e-03   5.003809e-02   6516
  1.122225e+00   3.984318e+00   4.039916e-03   4.929904e-02   6936
  1.135977e+00   4.038070e+00   3.839772e-03   4.947482e-02   7070
  1.149314e+00   3.948275e+00   4.091678e-03   4.822841e-02   7284
  1.163464e+00   4.199350e+00   4.073978e-03   4.808395e-02   7878
  1.177130e+00   4.219585e+00   3.909712e-03   5.027303e-02   7344
  1.190321e+00   4.269725e+00   4.084811e-03   4.875599e-02   7646
  1.204111e+00   4.441159e+00   4.038054e-03   4.925801e-02   8460
  1.217997e+00   4.382863e+00   3.926378e-03   5.125369e-02   7920
  1.231156e+00   4.643888e+00   3.721931e-03   5.271756e-02   8118
  1.244553e+00   4.502207e+00   4.024635e-03   4.987315e-02   8548
  1.258178e+00   4.552956e+00   3.921185e-03   5.060217e-02   8710
  1.271691e+00   4.775243e+00   3.764707e-03   5.178687e-02   8928
  1.285561e+00   4.869789e+00   4.047597e-03   5.316448e-02   9186
  1.298846e+00   4.898691e+00   3.750366e-03   5.195170e-02   9168
  1.312565e+00   4.931799e+00   3.864081e-03   5.034160e-02   9470
  1.325964e+00   5.100073e+00   3.802716e-03   5.422875e-02   9564
  1.339705e+00   5.121991e+00   3.996268e-03   5.169398e-02   10296
  1.353676e+00   5.207645e+00   3.842834e-03   5.277811e-02   9974
  1.366862e+00   5.433108e+00   3.854101e-03   5.514424e-02   10176
  1.380980e+00   5.363407e+00   4.068810e-03   5.177123e-02   11082
  1.394750e+00   5.453154e+00   3.959255e-03   5.384182e-02   10632
  1.408193e+00   5.503903e+00   3.889692e-03   5.424251e-02   10718
  1.421788e+00   5.566162e+00   3.905400e-03   5.356560e-02   11292
  1.435384e+00   5.750181e+00   3.993093e-03   5.493832e-02   11352
