# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  1.231156e+00   2.260879e+01   3.721931e-03   2.479228e-01   8118
  1.244553e+00   2.341832e+01   4.024635e-03   2.481405e-01   8548
  1.258178e+00   2.356406e+01   3.921185e-03   2.523571e-01   8710
  1.271691e+00   2.418650e+01   3.764707e-03   2.589545e-01   8928
  1.285561e+00   2.466838e+01   4.047597e-03   2.621428e-01   9186
  1.298846e+00   2.496824e+01   3.750366e-03   2.658162e-01   9168
  1.312565e+00   2.469301e+01   3.864081e-03   2.507163e-01   9470
  1.325964e+00   2.524400e+01   3.802716e-03   2.590187e-01   9564
  1.339705e+00   2.517025e+01   3.996268e-03   2.505101e-01   10296
  1.353676e+00   2.609683e+01   3.842834e-03   2.546583e-01   9974
  1.366862e+00   2.620164e+01   3.854101e-03   2.577575e-01   10176
  1.380980e+00   2.673771e+01   4.068810e-03   2.550040e-01   11082
  1.394750e+00   2.649365e+01   3.959255e-03   2.619554e-01   10632
  1.408193e+00   2.813863e+01   3.889692e-03   2.727540e-01   10718
  1.421788e+00   2.726077e+01   3.905400e-03   2.534363e-01   11292
  1.435384e+00   2.767959e+01   3.993093e-03   2.606746e-01   11352
  1.449104e+00   2.822669e+01   3.785706e-03   2.608956e-01   11550
  1.462441e+00   2.894134e+01   3.952267e-03   2.664275e-01   11564
  1.476107e+00   2.923824e+01   3.952073e-03   2.710829e-01   12246
  1.489723e+00   3.044745e+01   3.772425e-03   2.817265e-01   12096
  1.503400e+00   2.951404e+01   4.087643e-03   2.591133e-01   12582
  1.516919e+00   2.988660e+01   3.787547e-03   2.681014e-01   12612
  1.530766e+00   3.033986e+01   4.098583e-03   2.697605e-01   13328
  1.544314e+00   3.129980e+01   3.674401e-03   2.820447e-01   12654
  1.557593e+00   3.065417e+01   3.885118e-03   2.673632e-01   13236
  1.571003e+00   3.095823e+01   3.956485e-03   2.662403e-01   13270
  1.584639e+00   3.166819e+01   4.050033e-03   2.631728e-01   14512
  1.598830e+00   3.205414e+01   4.069077e-03   2.689754e-01   14226
  1.612168e+00   3.247765e+01   3.908672e-03   2.705579e-01   14088
  1.625624e+00   3.215043e+01   3.879336e-03   2.612153e-01   14208
  1.639178e+00   3.238738e+01   4.071732e-03   2.625566e-01   15074
  1.652966e+00   3.314407e+01   4.075022e-03   2.661642e-01   15480
  1.666752e+00   3.310549e+01   3.843772e-03   2.733536e-01   14862
  1.679789e+00   3.294376e+01   3.927431e-03   2.653933e-01   15232
  1.693506e+00   3.313573e+01   3.931524e-03   2.593510e-01   16018
  1.706973e+00   3.379456e+01   3.816759e-03   2.633471e-01   15720
  1.720412e+00   3.393909e+01   3.911029e-03   2.624150e-01   16296
  1.734261e+00   3.444629e+01   3.879045e-03   2.610284e-01   17010
  1.747710e+00   3.451589e+01   3.776189e-03   2.693487e-01   16328
  1.761238e+00   3.443414e+01   3.711062e-03   2.615139e-01   17094
  1.774811e+00   3.492881e+01   3.924532e-03   2.633215e-01   17436
  1.788534e+00   3.529147e+01   3.989493e-03   2.662400e-01   17862
  1.802314e+00   3.564472e+01   3.866890e-03   2.609115e-01   18200
  1.816191e+00   3.464044e+01   4.099167e-03   2.541089e-01   18450
  1.829771e+00   3.594047e+01   3.838324e-03   2.666200e-01   18384
  1.843323e+00   3.548861e+01   3.923486e-03   2.593477e-01   18504
  1.856855e+00   3.668280e+01   3.885045e-03   2.607933e-01   19142
  1.870661e+00   3.635550e+01   3.895698e-03   2.606999e-01   19692
  1.884317e+00   3.652358e+01   3.914843e-03   2.663374e-01   19062
  1.897677e+00   3.715110e+01   3.958747e-03   2.628451e-01   20184
  1.911496e+00   3.742939e+01   3.897574e-03   2.721436e-01   19970
  1.924963e+00   3.703012e+01   3.909731e-03   2.596753e-01   20496
  1.938839e+00   3.699302e+01   4.023732e-03   2.513123e-01   21456
  1.952332e+00   3.699801e+01   3.635348e-03   2.603407e-01   19650
  1.965583e+00   3.774362e+01   4.039758e-03   2.518614e-01   22040
  1.979557e+00   3.749934e+01   3.828807e-03   2.553103e-01   21558
  1.993024e+00   3.732812e+01   3.951337e-03   2.538112e-01   21804
  2.006530e+00   3.828612e+01   3.912103e-03   2.584245e-01   21846
  2.020013e+00   3.808157e+01   3.927065e-03   2.518437e-01   22496
  2.033563e+00   3.761996e+01   3.987707e-03   2.451151e-01   22776
  2.047479e+00   3.862638e+01   3.994392e-03   2.516676e-01   23874
  2.061145e+00   3.836990e+01   4.027768e-03   2.516356e-01   23120
  2.074737e+00   3.910938e+01   3.956099e-03   2.514479e-01   23958
  2.088373e+00   3.843257e+01   3.906756e-03   2.457490e-01   23892
  2.101727e+00   3.863417e+01   3.924859e-03   2.499753e-01   23550
