# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     73   1.692344e+01   1.086784e-01   1.685985e+00   0.000000e+00   0.000000e+00
     74   1.711094e+01   1.109825e-01   1.668501e+00   0.000000e+00   0.000000e+00
     75   1.729844e+01   1.133110e-01   1.651386e+00   0.000000e+00   0.000000e+00
     76   1.748594e+01   1.156638e-01   1.634631e+00   0.000000e+00   0.000000e+00
     77   1.767344e+01   1.180410e-01   1.618223e+00   0.000000e+00   0.000000e+00
     78   1.786094e+01   1.204425e-01   1.602153e+00   0.000000e+00   0.000000e+00
     79   1.804844e+01   1.228685e-01   1.586410e+00   0.000000e+00   0.000000e+00
     80   1.823594e+01   1.253189e-01   1.570986e+00   0.000000e+00   0.000000e+00
     81   1.842344e+01   1.277938e-01   1.555872e+00   0.000000e+00   0.000000e+00
     82   1.861094e+01   1.302931e-01   1.541059e+00   0.000000e+00   0.000000e+00
     83   1.879844e+01   1.328170e-01   1.526538e+00   0.000000e+00   0.000000e+00
     84   1.898594e+01   1.353654e-01   1.512301e+00   0.000000e+00   0.000000e+00
     85   1.917344e+01   1.379384e-01   1.498342e+00   0.000000e+00   0.000000e+00
     86   1.936094e+01   1.405359e-01   1.484652e+00   0.000000e+00   0.000000e+00
     87   1.954844e+01   1.431582e-01   1.471224e+00   0.000000e+00   0.000000e+00
     88   1.973594e+01   1.458050e-01   1.458052e+00   0.000000e+00   0.000000e+00
     89   1.992344e+01   1.484766e-01   1.445129e+00   0.000000e+00   0.000000e+00
     90   2.011094e+01   1.511730e-01   1.432449e+00   0.000000e+00   0.000000e+00
     91   2.029844e+01   1.538941e-01   1.420005e+00   0.000000e+00   0.000000e+00
     92   2.048594e+01   1.566400e-01   1.407792e+00   0.000000e+00   0.000000e+00
     93   2.067344e+01   1.594108e-01   1.395804e+00   0.000000e+00   0.000000e+00
     94   2.086094e+01   1.622065e-01   1.384036e+00   0.000000e+00   0.000000e+00
     95   2.104844e+01   1.650272e-01   1.372482e+00   0.000000e+00   0.000000e+00
     96   2.123594e+01   1.678729e-01   1.361138e+00   0.000000e+00   0.000000e+00
     97   2.142344e+01   1.707437e-01   1.349998e+00   0.000000e+00   0.000000e+00
     98   2.161094e+01   1.736395e-01   1.339059e+00   0.000000e+00   0.000000e+00
     99   2.179844e+01   1.765605e-01   1.328314e+00   0.000000e+00   0.000000e+00
    100   2.198594e+01   1.795068e-01   1.317761e+00   0.000000e+00   0.000000e+00
    101   2.217344e+01   1.824783e-01   1.307394e+00   0.000000e+00   0.000000e+00
    102   2.236094e+01   1.854752e-01   1.297210e+00   0.000000e+00   0.000000e+00
    103   2.254844e+01   1.884975e-01   1.287205e+00   0.000000e+00   0.000000e+00
    104   2.273594e+01   1.915453e-01   1.277375e+00   0.000000e+00   0.000000e+00
    105   2.292344e+01   1.946187e-01   1.267717e+00   0.000000e+00   0.000000e+00
    106   2.311094e+01   1.977176e-01   1.258226e+00   0.000000e+00   0.000000e+00
    107   2.329844e+01   2.008423e-01   1.248900e+00   0.000000e+00   0.000000e+00
    108   2.348594e+01   2.039928e-01   1.239735e+00   0.000000e+00   0.000000e+00
    109   2.367344e+01   2.071692e-01   1.230728e+00   0.000000e+00   0.000000e+00
    110   2.386094e+01   2.103715e-01   1.221877e+00   0.000000e+00   0.000000e+00
    111   2.404844e+01   2.135998e-01   1.213177e+00   0.000000e+00   0.000000e+00
    112   2.423594e+01   2.168543e-01   1.204627e+00   0.000000e+00   0.000000e+00
    113   2.442344e+01   2.201351e-01   1.196223e+00   0.000000e+00   0.000000e+00
    114   2.461094e+01   2.234422e-01   1.187963e+00   0.000000e+00   0.000000e+00
    115   2.479844e+01   2.267758e-01   1.179844e+00   0.000000e+00   0.000000e+00
    116   2.498594e+01   2.301359e-01   1.171864e+00   0.000000e+00   0.000000e+00
    117   2.517344e+01   2.335227e-01   1.164021e+00   0.000000e+00   0.000000e+00
    118   2.536094e+01   2.369362e-01   1.156312e+00   0.000000e+00   0.000000e+00
    119   2.554844e+01   2.403768e-01   1.148735e+00   0.000000e+00   0.000000e+00
    120   2.573594e+01   2.438443e-01   1.141287e+00   0.000000e+00   0.000000e+00
    121   2.592344e+01   2.473390e-01   1.133968e+00   0.000000e+00   0.000000e+00
    122   2.611094e+01   2.508611e-01   1.126774e+00   0.000000e+00   0.000000e+00
    123   2.629844e+01   2.544106e-01   1.119704e+00   0.000000e+00   0.000000e+00
    124   2.648594e+01   2.579877e-01   1.112756e+00   0.000000e+00   0.000000e+00
    125   2.667344e+01   2.615925e-01   1.105928e+00   0.000000e+00   0.000000e+00
    126   2.686094e+01   2.652253e-01   1.099218e+00   0.000000e+00   0.000000e+00
    127   2.704844e+01   2.688861e-01   1.092626e+00   0.000000e+00   0.000000e+00
    128   2.723594e+01   2.725752e-01   1.086148e+00   0.000000e+00   0.000000e+00
    129   2.742344e+01   2.762927e-01   1.079785e+00   0.000000e+00   0.000000e+00
    130   2.761094e+01   2.800389e-01   1.073533e+00   0.000000e+00   0.000000e+00
    131   2.779844e+01   2.838138e-01   1.067392e+00   0.000000e+00   0.000000e+00
    132   2.798594e+01   2.876177e-01   1.061361e+00   0.000000e+00   0.000000e+00
    133   2.817344e+01   2.914508e-01   1.055438e+00   0.000000e+00   0.000000e+00
    134   2.836094e+01   2.953133e-01   1.049621e+00   0.000000e+00   0.000000e+00
    135   2.854844e+01   2.992054e-01   1.043911e+00   0.000000e+00   0.000000e+00
    136   2.873594e+01   3.031274e-01   1.038304e+00   0.000000e+00   0.000000e+00
    137   2.892344e+01   3.070794e-01   1.032801e+00   0.000000e+00   0.000000e+00
    138   2.911094e+01   3.110617e-01   1.027400e+00   0.000000e+00   0.000000e+00
    139   2.929844e+01   3.150746e-01   1.022101e+00   0.000000e+00   0.000000e+00
    140   2.948594e+01   3.191183e-01   1.016901e+00   0.000000e+00   0.000000e+00
    141   2.967344e+01   3.231931e-01   1.011801e+00   0.000000e+00   0.000000e+00
    142   2.986094e+01   3.272993e-01   1.006800e+00   0.000000e+00   0.000000e+00
    143   3.004844e+01   3.314370e-01   1.001896e+00   0.000000e+00   0.000000e+00
    144   3.023594e+01   3.356067e-01   9.970887e-01   0.000000e+00   0.000000e+00
    145   3.042344e+01   3.398087e-01   9.923775e-01   0.000000e+00   0.000000e+00
    146   3.061094e+01   3.440432e-01   9.877616e-01   0.000000e+00   0.000000e+00
    147   3.079844e+01   3.483105e-01   9.832403e-01   0.000000e+00   0.000000e+00
    148   3.098594e+01   3.526110e-01   9.788129e-01   0.000000e+00   0.000000e+00
    149   3.117344e+01   3.569451e-01   9.744788e-01   0.000000e+00   0.000000e+00
    150   3.136094e+01   3.613130e-01   9.702374e-01   0.000000e+00   0.000000e+00
    151   3.154844e+01   3.657153e-01   9.660883e-01   0.000000e+00   0.000000e+00
    152   3.173594e+01   3.701521e-01   9.620308e-01   0.000000e+00   0.000000e+00
    153   3.192344e+01   3.746240e-01   9.580646e-01   0.000000e+00   0.000000e+00
    154   3.211094e+01   3.791313e-01   9.541892e-01   0.000000e+00   0.000000e+00
    155   3.229844e+01   3.836745e-01   9.504043e-01   0.000000e+00   0.000000e+00
    156   3.248594e+01   3.882539e-01   9.467093e-01   0.000000e+00   0.000000e+00
    157   3.267344e+01   3.928701e-01   9.431041e-01   0.000000e+00   0.000000e+00
    158   3.286094e+01   3.975234e-01   9.395883e-01   0.000000e+00   0.000000e+00
    159   3.304844e+01   4.022144e-01   9.361617e-01   0.000000e+00   0.000000e+00
    160   3.323594e+01   4.069435e-01   9.328240e-01   0.000000e+00   0.000000e+00
    161   3.342344e+01   4.117113e-01   9.295750e-01   0.000000e+00   0.000000e+00
    162   3.361094e+01   4.165183e-01   9.264146e-01   0.000000e+00   0.000000e+00
    163   3.379844e+01   4.213649e-01   9.233427e-01   0.000000e+00   0.000000e+00
    164   3.398594e+01   4.262518e-01   9.203591e-01   0.000000e+00   0.000000e+00
    165   3.417344e+01   4.311795e-01   9.174638e-01   0.000000e+00   0.000000e+00
    166   3.436094e+01   4.361486e-01   9.146568e-01   0.000000e+00   0.000000e+00
    167   3.454844e+01   4.411598e-01   9.119380e-01   0.000000e+00   0.000000e+00
    168   3.473594e+01   4.462135e-01   9.093075e-01   0.000000e+00   0.000000e+00
    169   3.492344e+01   4.513106e-01   9.067654e-01   0.000000e+00   0.000000e+00
    170   3.511094e+01   4.564517e-01   9.043117e-01   0.000000e+00   0.000000e+00
    171   3.529844e+01   4.616374e-01   9.019466e-01   0.000000e+00   0.000000e+00
    172   3.548594e+01   4.668684e-01   8.996702e-01   0.000000e+00   0.000000e+00
    173   3.567344e+01   4.721456e-01   8.974828e-01   0.000000e+00   0.000000e+00
    174   3.586094e+01   4.774696e-01   8.953846e-01   0.000000e+00   0.000000e+00
    175   3.604844e+01   4.828412e-01   8.933757e-01   0.000000e+00   0.000000e+00
    176   3.623594e+01   4.882613e-01   8.914567e-01   0.000000e+00   0.000000e+00
    177   3.642344e+01   4.937306e-01   8.896276e-01   0.000000e+00   0.000000e+00
    178   3.661094e+01   4.992501e-01   8.878890e-01   0.000000e+00   0.000000e+00
    179   3.679844e+01   5.048206e-01   8.862412e-01   0.000000e+00   0.000000e+00
    180   3.698594e+01   5.104430e-01   8.846847e-01   0.000000e+00   0.000000e+00
    181   3.717344e+01   5.161182e-01   8.832199e-01   0.000000e+00   0.000000e+00
    182   3.736094e+01   5.218473e-01   8.818473e-01   0.000000e+00   0.000000e+00
    183   3.754844e+01   5.276313e-01   8.805674e-01   0.000000e+00   0.000000e+00
    184   3.773594e+01   5.334711e-01   8.793809e-01   0.000000e+00   0.000000e+00
    185   3.792344e+01   5.393679e-01   8.782884e-01   0.000000e+00   0.000000e+00
    186   3.811094e+01   5.453227e-01   8.772905e-01   0.000000e+00   0.000000e+00
    187   3.829844e+01   5.513367e-01   8.763879e-01   0.000000e+00   0.000000e+00
    188   3.848594e+01   5.574111e-01   8.755813e-01   0.000000e+00   0.000000e+00
    189   3.867344e+01   5.635470e-01   8.748715e-01   0.000000e+00   0.000000e+00
    190   3.886094e+01   5.697458e-01   8.742593e-01   0.000000e+00   0.000000e+00
    191   3.904844e+01   5.760087e-01   8.737457e-01   0.000000e+00   0.000000e+00
    192   3.923594e+01   5.823371e-01   8.733314e-01   0.000000e+00   0.000000e+00
    193   3.942344e+01   5.887323e-01   8.730174e-01   0.000000e+00   0.000000e+00
    194   3.961094e+01   5.951958e-01   8.728047e-01   0.000000e+00   0.000000e+00
    195   3.979844e+01   6.017290e-01   8.726944e-01   0.000000e+00   0.000000e+00
    196   3.998594e+01   6.083335e-01   8.726875e-01   0.000000e+00   0.000000e+00
    197   4.017344e+01   6.150109e-01   8.727851e-01   0.000000e+00   0.000000e+00
    198   4.036094e+01   6.217627e-01   8.729885e-01   0.000000e+00   0.000000e+00
    199   4.054844e+01   6.285906e-01   8.732988e-01   0.000000e+00   0.000000e+00
    200   4.073594e+01   6.354965e-01   8.737174e-01   0.000000e+00   0.000000e+00
    201   4.092344e+01   6.424820e-01   8.742456e-01   0.000000e+00   0.000000e+00
    202   4.111094e+01   6.495490e-01   8.748848e-01   0.000000e+00   0.000000e+00
    203   4.129844e+01   6.566995e-01   8.756365e-01   0.000000e+00   0.000000e+00
    204   4.148594e+01   6.639354e-01   8.765021e-01   0.000000e+00   0.000000e+00
    205   4.167344e+01   6.712588e-01   8.774833e-01   0.000000e+00   0.000000e+00
    206   4.186094e+01   6.786717e-01   8.785816e-01   0.000000e+00   0.000000e+00
    207   4.204844e+01   6.861765e-01   8.797989e-01   0.000000e+00   0.000000e+00
    208   4.223594e+01   6.937754e-01   8.811368e-01   0.000000e+00   0.000000e+00
    209   4.242344e+01   7.014707e-01   8.825972e-01   0.000000e+00   0.000000e+00
    210   4.261094e+01   7.092648e-01   8.841821e-01   0.000000e+00   0.000000e+00
    211   4.279844e+01   7.171604e-01   8.858934e-01   0.000000e+00   0.000000e+00
    212   4.298594e+01   7.251599e-01   8.877332e-01   0.000000e+00   0.000000e+00
    213   4.317344e+01   7.332662e-01   8.897036e-01   0.000000e+00   0.000000e+00
    214   4.336094e+01   7.414819e-01   8.918070e-01   0.000000e+00   0.000000e+00
    215   4.354844e+01   7.498101e-01   8.940457e-01   0.000000e+00   0.000000e+00
    216   4.373594e+01   7.582536e-01   8.964220e-01   0.000000e+00   0.000000e+00
    217   4.392344e+01   7.668158e-01   8.989385e-01   0.000000e+00   0.000000e+00
    218   4.411094e+01   7.754997e-01   9.015978e-01   0.000000e+00   0.000000e+00
    219   4.429844e+01   7.843087e-01   9.044026e-01   0.000000e+00   0.000000e+00
    220   4.448594e+01   7.932464e-01   9.073558e-01   0.000000e+00   0.000000e+00
    221   4.467344e+01   8.023163e-01   9.104603e-01   0.000000e+00   0.000000e+00
    222   4.486094e+01   8.115222e-01   9.137192e-01   0.000000e+00   0.000000e+00
    223   4.504844e+01   8.208681e-01   9.171356e-01   0.000000e+00   0.000000e+00
    224   4.523594e+01   8.303578e-01   9.207129e-01   0.000000e+00   0.000000e+00
    225   4.542344e+01   8.399958e-01   9.244544e-01   0.000000e+00   0.000000e+00
    226   4.561094e+01   8.497862e-01   9.283639e-01   0.000000e+00   0.000000e+00
    227   4.579844e+01   8.597337e-01   9.324450e-01   0.000000e+00   0.000000e+00
    228   4.598594e+01   8.698430e-01   9.367017e-01   0.000000e+00   0.000000e+00
    229   4.617344e+01   8.801191e-01   9.411379e-01   0.000000e+00   0.000000e+00
