# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  1.231156e+00   4.779069e+00   3.721931e-03   5.272324e-02   8118
  1.244553e+00   4.627434e+00   4.024635e-03   4.987827e-02   8548
  1.258178e+00   4.686732e+00   3.921185e-03   5.060765e-02   8710
  1.271691e+00   4.912854e+00   3.764707e-03   5.179252e-02   8928
  1.285561e+00   5.008082e+00   4.047597e-03   5.317006e-02   9186
  1.298846e+00   5.033950e+00   3.750366e-03   5.195696e-02   9168
  1.312565e+00   5.071800e+00   3.864081e-03   5.034708e-02   9470
  1.325964e+00   5.236836e+00   3.802716e-03   5.423397e-02   9564
  1.339705e+00   5.267889e+00   3.996268e-03   5.169918e-02   10296
  1.353676e+00   5.365228e+00   3.842834e-03   5.278376e-02   9974
  1.366862e+00   5.574930e+00   3.854101e-03   5.515012e-02   10176
  1.380980e+00   5.514699e+00   4.068810e-03   5.177619e-02   11082
  1.394750e+00   5.615033e+00   3.959255e-03   5.384737e-02   10632
  1.408193e+00   5.662889e+00   3.889692e-03   5.424815e-02   10718
  1.421788e+00   5.727177e+00   3.905400e-03   5.357155e-02   11292
  1.435384e+00   5.915783e+00   3.993093e-03   5.494332e-02   11352
  1.449104e+00   5.892487e+00   3.785706e-03   5.524245e-02   11550
  1.462441e+00   6.014953e+00   3.952267e-03   5.524370e-02   11564
  1.476107e+00   6.040864e+00   3.952073e-03   5.484563e-02   12246
  1.489723e+00   6.018943e+00   3.772425e-03   5.546748e-02   12096
  1.503400e+00   6.152310e+00   4.087643e-03   5.444930e-02   12582
  1.516919e+00   6.214596e+00   3.787547e-03   5.553040e-02   12612
  1.530766e+00   6.455671e+00   4.098583e-03   5.592103e-02   13328
  1.544314e+00   6.358861e+00   3.674401e-03   5.812633e-02   12654
  1.557593e+00   6.587709e+00   3.885118e-03   5.719450e-02   13236
  1.571003e+00   6.653816e+00   3.956485e-03   5.748369e-02   13270
  1.584639e+00   6.588767e+00   4.050033e-03   5.483637e-02   14512
  1.598830e+00   6.664990e+00   4.069077e-03   5.575585e-02   14226
