# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  1.231156e+00   3.448826e+01   3.721931e-03   3.840121e-01   8118
  1.244553e+00   3.551843e+01   4.024635e-03   3.769630e-01   8548
  1.258178e+00   3.556448e+01   3.921185e-03   3.801585e-01   8710
  1.271691e+00   3.684563e+01   3.764707e-03   3.866572e-01   8928
  1.285561e+00   3.772290e+01   4.047597e-03   3.969247e-01   9186
  1.298846e+00   3.799202e+01   3.750366e-03   4.066799e-01   9168
  1.312565e+00   3.890738e+01   3.864081e-03   3.981427e-01   9470
  1.325964e+00   3.940721e+01   3.802716e-03   3.997498e-01   9564
  1.339705e+00   3.976423e+01   3.996268e-03   3.943073e-01   10296
  1.353676e+00   4.058828e+01   3.842834e-03   4.039106e-01   9974
  1.366862e+00   4.145209e+01   3.854101e-03   4.161710e-01   10176
  1.380980e+00   4.193405e+01   4.068810e-03   3.947770e-01   11082
  1.394750e+00   4.193490e+01   3.959255e-03   4.098173e-01   10632
  1.408193e+00   4.337846e+01   3.889692e-03   4.178740e-01   10718
  1.421788e+00   4.248615e+01   3.905400e-03   4.047849e-01   11292
  1.435384e+00   4.340557e+01   3.993093e-03   4.132834e-01   11352
  1.449104e+00   4.485519e+01   3.785706e-03   4.037077e-01   11550
  1.462441e+00   4.538585e+01   3.952267e-03   4.223988e-01   11564
  1.476107e+00   4.636528e+01   3.952073e-03   4.309530e-01   12246
  1.489723e+00   4.723934e+01   3.772425e-03   4.289724e-01   12096
  1.503400e+00   4.660814e+01   4.087643e-03   4.134428e-01   12582
  1.516919e+00   4.727561e+01   3.787547e-03   4.177236e-01   12612
  1.530766e+00   4.713520e+01   4.098583e-03   4.069759e-01   13328
  1.544314e+00   4.952345e+01   3.674401e-03   4.312425e-01   12654
  1.557593e+00   4.869609e+01   3.885118e-03   4.275032e-01   13236
  1.571003e+00   5.017381e+01   3.956485e-03   4.294781e-01   13270
  1.584639e+00   5.098452e+01   4.050033e-03   4.229358e-01   14512
  1.598830e+00   5.125878e+01   4.069077e-03   4.311693e-01   14226
  1.612168e+00   5.165593e+01   3.908672e-03   4.433649e-01   14088
  1.625624e+00   5.216231e+01   3.879336e-03   4.422348e-01   14208
  1.639178e+00   5.247736e+01   4.071732e-03   4.349735e-01   15074
  1.652966e+00   5.395396e+01   4.075022e-03   4.368094e-01   15480
  1.666752e+00   5.308474e+01   3.843772e-03   4.421191e-01   14862
  1.679789e+00   5.427142e+01   3.927431e-03   4.454211e-01   15232
  1.693506e+00   5.461559e+01   3.931524e-03   4.351823e-01   16018
  1.706973e+00   5.615228e+01   3.816759e-03   4.484197e-01   15720
  1.720412e+00   5.572152e+01   3.911029e-03   4.392345e-01   16296
  1.734261e+00   5.624247e+01   3.879045e-03   4.324069e-01   17010
  1.747710e+00   5.676527e+01   3.776189e-03   4.436596e-01   16328
  1.761238e+00   5.707764e+01   3.711062e-03   4.312729e-01   17094
  1.774811e+00   5.752021e+01   3.924532e-03   4.297911e-01   17436
  1.788534e+00   5.786043e+01   3.989493e-03   4.391363e-01   17862
  1.802314e+00   5.867579e+01   3.866890e-03   4.382149e-01   18200
  1.816191e+00   5.737540e+01   4.099167e-03   4.253050e-01   18450
  1.829771e+00   5.848488e+01   3.838324e-03   4.354336e-01   18384
  1.843323e+00   6.036237e+01   3.923486e-03   4.389518e-01   18504
  1.856855e+00   5.918667e+01   3.885045e-03   4.305056e-01   19142
  1.870661e+00   5.972367e+01   3.895698e-03   4.269294e-01   19692
  1.884317e+00   6.019697e+01   3.914843e-03   4.338641e-01   19062
  1.897677e+00   6.180044e+01   3.958747e-03   4.311310e-01   20184
  1.911496e+00   6.195594e+01   3.897574e-03   4.331581e-01   19970
  1.924963e+00   6.215012e+01   3.909731e-03   4.341832e-01   20496
  1.938839e+00   6.250217e+01   4.023732e-03   4.277386e-01   21456
  1.952332e+00   6.281633e+01   3.635348e-03   4.523784e-01   19650
  1.965583e+00   6.374260e+01   4.039758e-03   4.295020e-01   22040
  1.979557e+00   6.290704e+01   3.828807e-03   4.217179e-01   21558
  1.993024e+00   6.169735e+01   3.951337e-03   4.208848e-01   21804
  2.006530e+00   6.507726e+01   3.912103e-03   4.446561e-01   21846
  2.020013e+00   6.415256e+01   3.927065e-03   4.255262e-01   22496
  2.033563e+00   6.386278e+01   3.987707e-03   4.201028e-01   22776
  2.047479e+00   6.559751e+01   3.994392e-03   4.251121e-01   23874
  2.061145e+00   6.397779e+01   4.027768e-03   4.185787e-01   23120
  2.074737e+00   6.673261e+01   3.956099e-03   4.261066e-01   23958
  2.088373e+00   6.488791e+01   3.906756e-03   4.217798e-01   23892
  2.101727e+00   6.559432e+01   3.924859e-03   4.299277e-01   23550
  2.115216e+00   6.654551e+01   3.968932e-03   4.156679e-01   25296
  2.128915e+00   6.595457e+01   3.924347e-03   4.209624e-01   24452
  2.142311e+00   6.641340e+01   3.835662e-03   4.173308e-01   25254
  2.156023e+00   6.610053e+01   3.969357e-03   4.112409e-01   26016
  2.169543e+00   6.701131e+01   3.782439e-03   4.188722e-01   25182
  2.183190e+00   6.728623e+01   3.967911e-03   4.057569e-01   27428
  2.197036e+00   6.643158e+01   3.811822e-03   4.085952e-01   25974
  2.210356e+00   6.676043e+01   3.861453e-03   4.079196e-01   26904
  2.223881e+00   6.741481e+01   3.824751e-03   4.156440e-01   26730
  2.237420e+00   6.789513e+01   3.914440e-03   4.124854e-01   27896
  2.251310e+00   6.711123e+01   4.054409e-03   3.934629e-01   28992
