Galaxy_ID,N_points,Has_bulge,N_params_fitted,Yd_MAP,Yb_MAP,fd_MAP,chi2_data_MAP,chi2_prior_penalty,chi2_total_MAP,chi2_reduced_nuisance,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,RMS_pct_strict
UGC04305,22,0,2,0.25,,1.15,609.4734,6.25,615.7234,30.4737,96.1987,107.4613,51.06
UGC04325,8,0,2,1.05,,0.9,48.7434,20.36,69.1034,8.1239,8.5007,6.9269,15.23
UGC04483,8,0,2,0.25,,1.15,18.7106,6.25,24.9606,3.1184,15.5438,19.7764,28.5
UGC04499,9,0,2,0.55,,1.1,15.4205,1.16,16.5805,2.2029,27.8364,37.0227,22.81
UGC05005,11,0,2,0.45,,1.075,2.99,0.7225,3.7125,0.3322,5.4412,6.8419,29.9
UGC05253,73,1,3,0.85,0.75,0.925,696.3591,8.4841,704.8433,9.948,263.2722,300.9782,17.83
UGC05414,6,0,2,0.45,,1.0,0.7077,0.16,0.8677,0.1769,36.1197,45.1447,27.02
UGC05716,12,0,2,0.95,,1.15,104.4764,15.21,119.6864,10.4476,22.9337,44.3958,6.87
UGC05721,23,0,2,1.15,,0.85,63.1978,29.29,92.4878,3.0094,5.9017,4.4856,18.26
UGC05750,11,0,2,0.45,,1.05,9.1494,0.41,9.5594,1.0166,7.2131,8.9435,38.3
UGC05764,10,0,2,1.55,,0.85,74.8769,72.81,147.6869,9.3596,47.2353,35.5189,23.85
UGC05829,11,0,2,0.55,,1.125,13.5381,1.7225,15.2606,1.5042,4.2685,5.911,17.29
UGC05918,8,0,2,0.65,,1.025,6.5969,1.5025,8.0994,1.0995,2.7465,3.9398,13.42
UGC05986,15,0,2,0.95,,0.875,88.4069,14.5225,102.9294,6.8005,6.563,7.4794,11.43
UGC05999,5,0,2,0.55,,1.05,12.3176,0.41,12.7276,4.1059,12.3321,16.6341,19.94
UGC06399,9,0,2,0.75,,0.875,3.5689,5.5625,9.1314,0.5098,2.1306,3.7177,13.64
UGC06446,17,0,2,1.05,,0.975,11.8957,19.4225,31.3182,0.793,1.0172,0.8822,7.63
UGC06614,13,1,3,0.55,0.65,0.95,12.7105,0.4916,13.2021,1.271,34.3243,40.0366,24.12
UGC06628,7,0,2,0.25,,1.125,28.6448,5.5625,34.2073,5.729,26.8507,29.9004,49.89
UGC06667,9,0,2,1.35,,0.85,39.8206,48.49,88.3106,5.6887,18.0446,14.0464,30.87
UGC06786,45,1,3,1.05,0.75,0.85,645.6063,21.6916,667.298,15.3716,29.0375,25.8371,9.68
UGC06787,71,1,3,1.25,0.65,0.95,1821.8997,36.3316,1858.2313,26.7926,78.3402,85.2394,14.76
UGC06818,8,0,2,0.45,,0.95,20.1736,0.41,20.5836,3.3623,21.5172,25.0597,34.42
UGC06917,11,0,2,0.75,,0.9,10.6577,5.0,15.6577,1.1842,10.0305,14.8262,12.71
UGC06923,6,0,2,0.55,,0.925,4.6719,0.7225,5.3944,1.168,13.8854,17.3778,25.41
UGC06930,10,0,2,0.65,,1.025,14.4006,1.5025,15.9031,1.8001,11.4946,15.589,17.65
