# Sharma et al. 2021, MNRAS 503, 1753 (doi:10.1093/mnras/stab249; arXiv:2005.00279) released catalogue
# "Flat rotation curves of z~1 star-forming galaxies": 344 KROSS galaxies re-modelled with 3D-Barolo.
# SOURCE: CDS/VizieR J/MNRAS/503/1753 catalog.dat (Records=344), sha256 b91ea011fd98ceacf1b30a18123da2c4a20162d78edbf383fbff37c72b57df45;
#   cross-checked C6 against the authors' Harvard Dataverse file doi:10.7910/DVN/MHRG4O
#   (gsharma_2020_catalog.fits, md5 43037198cef3cc89376984cb76a8dd61, sha256 507c2e0834957950f30d72eb99832d95ac75f31628e412351731448be859c942).
# VIZIER LABEL DEFECT: the CDS ReadMe labels Re, Vout, VPGCout, Sigma, LHa, FHa (and their errors) as log
#   quantities ([kpc], [km/s], ...). The numbers are LINEAR: they equal the Dataverse FITS columns and Re spans
#   0.695-7.73 kpc, matching the abstract's 0.69<=R_e[kpc]<=7.76. Columns here are named as linear.
# CONVENTIONS: no cosmology statement found in the arXiv source; Re, M_H, PA, magnitudes are adopted from
#   Harrison+2017 (H0=70, Om=0.3, OL=0.7, Chabrier). Quality: 1 best, 2 reasonable, 3 discarded by the authors.
# VELOCITY: Vout_kms = 3D-Barolo rotation velocity at R_out = 6.4 R_D, R_D = 0.59 R_e (beam smearing
#   handled in 3D; paper Sec. 3.1 figure caption: R_out = R_2opt = 3.78 R_e); VPGC_out_kms = same after
#   PRESSURE-GRADIENT CORRECTION (paper Sec. 3.2):
#   V_c^PGC = sqrt(V_phi^2 - sigma_R^2 [dln Sigma/dln R + dln sigma_R^2/dln R + (1-alpha)/2]).
#   => R_out_kpc = 3.78*Re_kpc (not a column; compute downstream). Sigma_kms = weighted
#   mean intrinsic dispersion. L_Ha in erg/s (10^-7 W), F_Ha in erg/s/cm^2 (mW/m^2), no extinction correction.
# STELLAR MASS: the paper's LePhare masses (supplied by A. Tiley) are NOT in the released catalogue.
#   T19_* = JOIN to Tiley2019a KROSS rows by KID (167/344 present; SED masses, WMAP9).
#   H17_* = JOIN to Harrison+2017 by KID (344/344; fixed M/L=0.2 H-band mass, H0=70; R_1/2 kpc).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
KID,Name,Quality,Flag_PA,RAdeg,DEdeg,z,PA_deg,INC_deg,MH_AB,zmag_AB,Kmag_AB,Re_kpc,Re_err_kpc,Vout_kms,Vout_err_kms,VPGC_out_kms,VPGC_out_err_kms,Sigma_kms,Sigma_err_kms,L_Ha_erg_s,L_Ha_err_erg_s,F_Ha_erg_s_cm2,T19_logMstar_SED,T19_disky_flag,H17_logMstar_fixedML,H17_R12_kpc
144,C-zcos_z1_642,2,kin,150.22596,2.151669,0.917786,24.031,42.3693,-21.98,21.442705,21.309732,3.05037,0.915111,89.7251,14.152734,155.24563,12.775029,62.99865,3.274015,8.6936e+41,4.3468e+40,1.37138e-16,,,9.97703,3.05037
145,C-zcos_z1_644,1,phot,150.22445,2.198691,0.91395,0.275,56.2603,-22.18,21.774189,21.21939,4.329804,1.298941,249.485,32.521962,258.03116,31.614626,60.65203,3.766677,3.99287e+41,1.99643e+40,6.36408e-17,9.84605,1,10.05703,4.329804
146,C-zcos_z1_652,2,phot,150.21607,2.154343,0.916858,41.975,52.8078,-22.05,21.698959,21.281128,3.446753,1.034026,92.564,15.190654,129.59953,13.133894,28.12744,3.960239,2.06734e+41,1.03367e+40,3.26932e-17,10.1672,0,10.00503,3.446754
147,C-zcos_z1_658,2,kin,150.21367,2.186734,0.837323,45.499,44.4141,-21.32,21.843574,21.77575,1.119785,0.335935,201.99378,28.048271,208.01158,27.78215,30.47506,4.925935,1.31388e+42,6.56939e+40,2.59886e-16,,,9.71303,1.119785
148,C-zcos_z1_659,1,phot,150.21274,2.159491,0.981667,26.8,53.9198,-21.92,21.845594,21.533306,3.155627,0.946688,90.421,10.819642,99.11954,10.747558,27.57565,3.380699,3.99693e+41,1.99846e+40,5.33942e-17,9.69515,1,9.95303,3.155627
149,C-zcos_z1_660,2,phot,150.21138,2.144704,0.929461,82.826,65.2058,-22.48,21.51479,20.944439,5.411597,1.623479,131.299,9.825137,132.71555,9.82156,8.2558,2.682363,3.54025e+41,1.77013e+40,5.41301e-17,9.99661,1,10.17703,5.411597
150,C-zcos_z1_670,1,phot,150.20052,2.21833,0.879092,-31.558,57.1958,-22.91,21.060761,20.370846,2.653955,0.796187,190.04087,20.050717,224.94193,18.711302,70.23915,3.884724,9.28508e+41,4.64254e+40,1.62895e-16,10.4495,1,10.34903,2.653955
151,C-zcos_z1_673,2,phot,150.19609,2.144094,0.916525,-63.873,42.5012,-21.32,22.048897,21.851732,5.733666,1.7201,73.116,9.506145,74.50183,9.549295,41.5679,3.369714,2.12844e+41,1.06422e+40,3.36896e-17,,,9.71303,5.733666
152,C-zcos_z1_675,1,phot,150.18657,2.208634,0.891499,-86.092,57.7829,-22.87,21.036602,20.438871,4.441016,1.332305,231.206,26.853643,281.86413,22.915277,115.55894,3.796215,1.08976e+42,5.44878e+40,1.84687e-16,10.3798,1,10.333031,4.441016
154,C-zcos_z1_685,1,phot,150.16783,2.247134,0.867737,-74.553,53.7139,-22.49,21.275526,20.752033,3.475418,1.042625,93.555,5.944531,105.09638,6.934214,60.13438,2.87141,6.68109e+41,3.34054e+40,1.2103e-16,10.114,0,10.18103,3.475418
155,C-zcos_z1_690,2,kin,150.15234,2.21932,0.92516,77.76,51.9893,-22.84,21.307198,20.658312,3.250835,0.975251,198.257,30.494687,226.4682,27.26552,48.83738,4.080838,5.61912e+41,2.80956e+40,8.69055e-17,10.0724,1,10.32103,3.250835
156,C-zcos_z1_692,2,kin,150.15174,2.188685,0.926978,37.644,40.1831,-22.99,20.858078,20.338797,4.165992,1.249798,194.12009,13.058105,196.87421,12.884979,45.70891,2.376671,1.22595e+42,6.12974e+40,1.88688e-16,,,10.38103,4.165992
157,C-zcos_z1_693,1,phot,150.1494,2.196627,0.924618,37.783,56.2794,-21.65,21.896259,21.63314,4.155385,1.246616,187.209,17.523042,188.51545,17.436037,60.25426,2.774123,3.97035e+41,1.98518e+40,6.14945e-17,9.56994,0,9.84503,4.155385
158,C-zcos_z1_695,3,phot,150.14251,2.208278,0.846588,51.201,64.3387,-21.32,21.864597,21.79975,2.344772,0.703432,149.65083,24.787382,158.9052,23.681652,23.22911,3.591483,5.7854e+41,2.8927e+40,1.11375e-16,,,9.71303,2.344772
159,C-zcos_z1_698,2,phot,150.13574,2.199431,0.926691,-65.941,34.3996,-22.59,21.221829,20.757362,3.027432,0.90823,185.14,17.658778,186.83048,17.560487,30.15432,3.614171,4.08559e+41,2.04279e+40,6.29304e-17,,,10.22103,3.027431
160,C-zcos_z1_703,2,phot,150.12229,2.243516,0.803369,-63.605,32.7622,-22.37,21.173796,20.60066,1.819796,0.545939,118.29131,3.693477,149.61146,6.363663,65.39541,3.514937,2.42761e+41,1.2138e+40,5.31691e-17,,,10.133031,1.819796
162,C-zcos_z1_726,2,phot,150.0742,2.216964,0.928241,-35.662,38.8045,-22.33,21.424046,20.97807,2.802337,0.840701,164.59199,19.893529,167.52047,19.606303,12.26934,3.328238,3.52772e+41,1.76386e+40,5.41137e-17,,,10.11703,2.802337
163,C-zcos_z1_790,2,phot,149.91691,2.252199,0.855152,71.189,37.0727,-20.71,22.219242,22.13166,1.336611,0.400983,3.17363,3.671939,63.96191,10.77162,28.65407,3.434871,2.01821e+41,1.00911e+40,3.79011e-17,,,9.46903,1.336611
165,C-zcos_z1_793,3,phot,149.89334,2.220069,0.88504,23.153,52.4458,-21.58,22.036854,21.68878,3.519661,1.055898,192.968,10.948134,194.2747,10.952075,54.00588,3.42204,2.04485e+41,1.02242e+40,3.52825e-17,9.62164,1,9.81703,3.519661
166,C-zcos_z1_796,2,kin,149.88048,2.223129,0.885444,-20.123,32.6847,-21.06,22.101833,21.961369,3.328614,0.998584,79.162,10.612259,80.48014,10.622351,14.98169,3.308038,2.56847e+41,1.28423e+40,4.42673e-17,,,9.60903,3.328614
170,C-zcos_z1_915,3,kin,150.27169,2.327293,0.981557,33.417,38.8294,-21.64,21.876944,21.713121,2.833682,0.850105,189.58587,16.752711,212.34661,16.747998,60.65291,3.996395,6.42629e+41,3.21315e+40,8.58713e-17,,,9.84103,2.833682
171,C-zcos_z1_925,1,phot,150.23446,2.311394,0.91287,57.081,45.5947,-22.49,21.345917,20.889421,3.72964,1.118892,156.926,11.232647,157.35439,11.226995,21.69053,3.614785,6.13292e+41,3.06646e+40,9.80359e-17,9.94171,1,10.18103,3.72964
177,E-zmus_z1_107,2,phot,53.168125,-27.812929,0.961694,-88.537,27.8618,-21.13,23.152277,22.170145,1.422255,0.426676,68.6346,6.088073,82.31062,7.790399,25.8159,3.304125,2.41994e+41,1.20997e+40,3.40124e-17,,,9.63703,1.422255
181,E-zmus_z1_117,2,kin,53.034232,-27.798708,0.841634,-53.852,34.5255,-22.52,21.589216,20.608112,2.957336,0.887201,119.306,17.154411,120.86447,17.049818,24.22989,3.560751,2.65641e+41,1.32821e+40,5.18838e-17,,,10.19303,2.957335
183,E-zmus_z1_119,1,phot,53.034108,-27.797786,0.841298,60.65,61.7587,-23.13,21.390057,19.985844,4.19094,1.257282,167.612,18.050281,193.05879,16.416947,62.78362,3.588882,5.27387e+41,2.63693e+40,1.03108e-16,10.6077,1,10.43703,4.19094
184,E-zmus_z1_12,1,phot,53.169833,-27.918191,0.976393,63.801,51.4432,-24.03,20.915791,19.368332,3.91059,1.173177,294.286,3.372902,339.40183,6.078032,88.84676,4.921225,1.53652e+42,7.6826e+40,2.08012e-16,11.0091,1,10.79703,3.91059
185,E-zmus_z1_120,1,kin,53.023567,-27.796975,0.896989,15.111,61.0252,-21.32,22.614384,21.693123,4.249942,1.274983,0.046,3.303466,23.6167,10.495952,44.5796,3.420357,3.39253e+41,1.69627e+40,5.66309e-17,9.87316,0,9.71303,4.249942
186,E-zmus_z1_122,2,kin,53.176012,-27.796145,0.996927,-82.487,45.499,-23.51,21.153353,19.959925,4.966212,1.489864,73.991,8.936591,76.60479,8.933812,50.4186,2.663243,6.58309e+41,3.29154e+40,8.46518e-17,10.7068,0,10.58903,4.966212
188,E-zmus_z1_125,1,phot,53.090587,-27.790217,0.997853,-88.858,61.6832,-22.29,22.635672,21.174553,2.513202,0.753961,136.06954,13.104629,149.30459,13.135136,27.78902,3.770046,3.94064e+41,1.97032e+40,5.05564e-17,10.3742,1,10.101031,2.513202
189,E-zmus_z1_127,2,phot,53.066133,-27.789635,0.895531,-11.482,51.1905,-22.26,21.61714,20.8149,4.02466,1.207398,123.193,17.828283,180.99065,15.878117,80.32489,3.654708,1.91215e+41,9.56075e+39,3.20475e-17,10.336,1,10.08903,4.02466
201,E-zmus_z1_146,2,phot,53.000561,-27.760439,0.86201,74.633,59.257,-23.33,21.345253,19.78444,3.146733,0.94402,211.346,29.956457,211.43217,29.945851,18.04033,3.491033,4.84888e+41,2.42444e+40,8.92843e-17,10.5914,1,10.51703,3.146733
203,E-zmus_z1_148,2,phot,53.058021,-27.760319,0.840299,-50.768,48.8755,-21.75,22.48064,21.36934,1.468251,0.440475,88.66447,14.284495,185.20532,13.484628,90.62805,4.637294,2.17717e+41,1.08859e+40,4.26899e-17,10.2522,0,9.88503,1.468251
207,E-zmus_z1_153,3,kin,53.028449,-27.763928,0.845105,-39.543,31.0695,-22.4,21.213442,20.620785,1.914335,0.5743,216.31416,10.111578,323.78974,12.25477,118.87756,3.993883,6.4863e+41,3.24315e+40,1.25409e-16,,,10.14503,1.914335
209,E-zmus_z1_159,3,kin,53.063979,-27.751922,0.860699,50.294,33.1325,-21.76,21.92388,21.172377,2.383852,0.715156,149.0132,10.852223,188.67347,11.869926,66.89039,4.323097,2.54237e+41,1.27118e+40,4.69896e-17,,,9.88903,2.383852
210,E-zmus_z1_166,2,kin,53.068737,-27.746926,0.975108,85.398,42.674,-23.2,21.919437,20.440939,2.455914,0.736774,111.00437,18.133778,141.36151,17.304248,30.05623,3.065009,7.76711e+41,3.88356e+40,1.05493e-16,,,10.46503,2.455914
217,E-zmus_z1_176,1,phot,53.016479,-27.73371,0.958846,-50.474,70.7529,-22.03,23.065479,21.512653,3.369191,1.010757,86.403,7.548135,118.82689,10.072903,30.76964,3.991097,7.67036e+41,3.83518e+40,1.086e-16,10.2867,0,9.99703,3.369191
218,E-zmus_z1_181,2,kin,53.021379,-27.730836,0.805583,-45.353,30.3779,-21.26,22.146395,21.630863,0.721321,0.216396,128.26376,4.150474,157.87081,7.326999,49.93315,3.478146,3.79615e+41,1.89808e+40,8.25817e-17,,,9.68903,0.721321
221,E-zmus_z1_189,2,kin,52.992479,-27.719661,0.840016,67.316,39.291,-21.95,21.714993,21.01022,3.157873,0.947362,110.012,22.871516,163.96553,18.316827,47.07045,4.464694,3.06636e+41,1.53318e+40,6.01751e-17,,,9.96503,3.157873
222,E-zmus_z1_190,2,kin,53.059446,-27.715074,0.813878,-52.147,32.5802,-21.4,23.036566,21.858728,1.453903,0.436171,83.12354,13.2773,159.84475,11.957754,46.03498,3.548995,1.66555e+41,8.32776e+39,3.53307e-17,,,9.74503,1.453903
223,E-zmus_z1_191,3,kin,53.187958,-27.715441,1.03882,-8.901,68.9179,-22.13,22.818945,21.134367,4.668615,1.400584,44.302,6.449521,104.7513,12.300244,57.79091,3.52211,3.88014e+41,1.94007e+40,4.50655e-17,,,10.03703,4.668615
225,E-zmus_z1_193,2,phot,53.009249,-27.713472,0.970727,29.312,40.1676,-21.81,22.347811,21.58006,1.69614,0.508842,7.23054,1.043813,34.65313,8.099376,13.8281,3.281515,4.00085e+41,2.00043e+40,5.49477e-17,,,9.90903,1.69614
226,E-zmus_z1_195,2,phot,52.999271,-27.711333,0.821742,34.164,44.5239,-21.98,22.076868,21.00417,2.192493,0.657748,172.09845,17.223709,196.4986,16.080615,29.76199,3.480551,1.49265e+41,7.46327e+39,3.09225e-17,,,9.97703,2.192492
230,E-zmus_z1_207,2,phot,53.011267,-27.700448,0.820058,-32.668,40.1606,-23.18,21.259068,19.913778,4.284553,1.285366,120.643,12.585776,120.8278,12.579144,22.372,2.812251,2.1504e+41,1.0752e+40,4.47742e-17,,,10.45703,4.284553
231,E-zmus_z1_208,1,phot,53.030717,-27.694911,0.861796,50.701,63.5141,-20.44,23.04549,23.005913,1.635211,0.490563,96.33208,17.116387,110.19283,17.020353,24.6203,3.589614,2.93288e+41,1.46644e+40,5.40374e-17,,,9.36103,1.635211
232,E-zmus_z1_21,2,kin,53.202007,-27.90444,0.839076,-79.075,25.1815,-23.27,20.953196,19.719568,3.15477,0.946431,123.75821,16.003925,124.66734,15.928615,28.21948,2.936972,3.45237e+41,1.72618e+40,6.79374e-17,,,10.49303,3.15477
237,E-zmus_z1_219,1,phot,53.13985,-27.658002,0.97692,61.376,61.9708,-23.09,21.913311,20.4964,3.353379,1.006014,184.314,14.260312,189.27883,14.119654,47.33867,3.468245,1.82971e+42,9.14853e+40,2.47373e-16,10.6555,0,10.42103,3.353379
239,E-zmus_z1_23,2,kin,53.071754,-27.902452,0.960907,72.08,28.6435,-22.9,21.995159,20.459074,2.668997,0.800699,56.41648,3.616909,123.72127,10.473138,72.15207,3.412357,3.9022e+41,1.9511e+40,5.49565e-17,,,10.34503,2.668997
240,E-zmus_z1_24,1,phot,53.141867,-27.901838,0.823132,-62.959,73.7042,-22.33,21.974686,20.638346,3.9,1.17,142.974,15.452154,196.56595,13.051975,55.97511,2.949326,3.04205e+41,1.52102e+40,6.27588e-17,10.4415,0,10.11703,3.9
241,E-zmus_z1_27,2,phot,53.210574,-27.899188,0.976142,66.205,70.5163,-21.34,23.021376,22.21169,3.18897,0.956691,80.343,8.308454,81.51618,8.354906,29.50254,3.207102,1.93999e+41,9.69995e+39,2.62801e-17,9.96275,0,9.72103,3.18897
243,E-zmus_z1_34,3,phot,53.131804,-27.893583,0.986005,-80.848,43.4206,-20.74,23.813656,22.691519,1.181859,0.354558,147.17941,18.500932,164.19866,17.319464,27.34686,3.45957,1.79429e+41,8.97145e+39,2.37098e-17,,,9.48103,1.181859
244,E-zmus_z1_35,1,phot,53.280661,-27.894536,0.804665,15.868,51.8441,-23.0,21.423088,19.912725,3.724687,1.117406,255.145,14.913298,256.39595,14.874107,44.01761,2.872387,2.1946e+41,1.0973e+40,4.78754e-17,10.5205,1,10.38503,3.724687
246,E-zmus_z1_39,1,kin,53.146158,-27.891964,0.890221,-29.797,51.1685,-20.53,23.718363,22.754103,1.555475,0.466643,63.94848,9.431089,110.0176,10.575641,43.95056,3.376992,1.76874e+41,8.8437e+39,3.00822e-17,,,9.39703,1.555475
247,E-zmus_z1_41,1,phot,53.232721,-27.891096,0.981888,-75.854,54.954,-23.28,21.277632,20.09065,5.368617,1.610585,193.074,18.448507,248.01425,15.693051,94.39852,3.575638,3.08106e+41,1.54053e+40,4.11364e-17,10.7217,1,10.49703,5.368617
249,E-zmus_z1_49,1,phot,53.213253,-27.88562,0.981514,2.489,64.7709,-22.75,21.876345,20.63884,5.366577,1.609973,94.713,12.475337,163.43033,11.119344,62.03983,2.299132,5.49612e+41,2.74806e+40,7.34498e-17,10.513,1,10.28503,5.366577
250,E-zmus_z1_50,2,phot,53.179196,-27.884523,0.908406,-55.956,52.8314,-20.18,23.134359,22.942944,3.638298,1.09149,27.108,4.151211,31.31509,6.390606,11.72073,3.310381,1.65792e+41,8.2896e+39,2.68248e-17,,,9.25703,3.638298
253,E-zmus_z1_53,1,phot,53.086921,-27.882012,0.832164,15.239,63.3266,-21.14,22.804407,21.763683,2.718613,0.815584,86.22866,9.696715,86.5785,9.715617,15.4324,3.608554,1.85352e+41,9.26762e+39,3.72252e-17,9.89199,0,9.64103,2.718613
254,E-zmus_z1_55,2,phot,53.250457,-27.880857,0.885167,10.972,49.397,-22.18,21.888935,20.793526,3.545217,1.063565,138.481,16.859706,161.80318,15.351804,50.10909,3.547177,2.53876e+41,1.26938e+40,4.3789e-17,10.384,1,10.05703,3.545217
256,E-zmus_z1_58,2,kin,53.229492,-27.87999,0.847671,-50.908,29.8411,-21.94,22.506405,21.183035,1.920142,0.576043,164.06569,14.916359,174.59116,14.468306,29.69785,3.386085,1.1167e+41,5.58348e+39,2.14301e-17,,,9.96103,1.920142
259,E-zmus_z1_65,1,kin,53.093917,-27.872653,0.841964,-75.865,67.6322,-22.09,22.182926,21.30068,3.372192,1.011658,161.199,18.572567,189.12772,17.198212,22.61889,3.478961,4.08942e+41,2.04471e+40,7.97953e-17,10.3253,1,10.02103,3.372192
263,E-zmus_z1_70,2,phot,53.173932,-27.865018,0.858494,65.091,41.5377,-23.21,22.023056,20.978657,2.591769,0.777531,116.74937,17.900782,141.61361,16.507542,43.49794,4.223003,3.02763e+41,1.51381e+40,5.63134e-17,,,10.46903,2.591769
265,E-zmus_z1_73,3,phot,53.121812,-27.862518,0.962754,25.827,47.2234,-21.69,22.641399,21.654984,1.682216,0.504665,12.8703,2.728807,82.56159,8.466599,27.20337,3.229817,4.87134e+41,2.43567e+40,6.82805e-17,10.1937,0,9.86103,1.682215
269,E-zmus_z1_81,3,phot,53.175286,-27.852558,0.963062,-89.171,61.3049,-20.99,22.820419,22.220745,2.907459,0.872238,32.28275,5.512396,35.58707,5.955973,26.00511,3.207772,3.35276e+41,1.67638e+40,4.69578e-17,9.83834,0,9.58103,2.907459
270,E-zmus_z1_83,3,kin,53.0707,-27.850593,0.990444,-46.274,64.436,-22.17,23.388758,21.8328,1.989381,0.596814,178.35781,28.553503,213.12524,25.014707,56.99047,3.892158,9.40122e+41,4.70061e+40,1.22856e-16,10.4717,1,10.05303,1.989381
273,E-zmus_z1_86,2,phot,53.104962,-27.84996,0.840728,-17.587,43.963,-21.48,21.81358,21.352346,2.117466,0.63524,89.05096,10.224992,118.25372,10.326446,50.82231,3.462914,9.79325e+41,4.89662e+40,1.91785e-16,,,9.77703,2.117466
275,E-zmus_z1_90,3,phot,53.240124,-27.844937,0.964274,-15.144,46.5286,-21.89,22.454918,21.5931,1.507192,0.452158,29.11505,5.777776,124.46697,12.547016,59.29537,3.624285,5.0934e+41,2.5467e+40,7.11154e-17,,,9.94103,1.507192
279,E-zmus_z1_97,1,kin,53.239762,-27.830157,0.977332,32.096,49.9929,-22.47,21.640751,20.957441,2.821512,0.846454,156.58087,14.525622,212.17687,14.406896,92.11244,4.497302,1.76247e+42,8.81235e+40,2.38035e-16,10.3645,0,10.17303,2.821512
280,E-zmvvd_z1_104,2,kin,53.191725,-27.753559,0.837849,-42.595,48.4785,-21.12,22.693163,21.857769,1.239097,0.371729,35.72417,2.879472,138.10926,10.790157,64.64804,3.436178,2.33768e+41,1.16884e+40,4.61682e-17,,,9.633031,1.239097
283,E-zmvvd_z1_12,2,phot,53.115967,-27.950188,0.80549,-81.899,68.9255,-20.91,23.13452,22.469328,1.706551,0.511965,34.07547,6.506473,42.69472,10.226045,11.95136,4.175803,1.18307e+41,5.91536e+39,2.57439e-17,,,9.54903,1.706551
285,E-zmvvd_z1_14,1,phot,53.1238,-27.945738,0.804401,7.996,56.334,-20.43,22.756826,22.472847,3.810807,1.143242,9.376,3.381385,45.59481,10.503933,18.0295,3.453612,1.26422e+41,6.3211e+39,2.76014e-17,9.4269,0,9.35703,3.810807
286,E-zmvvd_z1_140,2,kin,53.191708,-27.676604,0.976906,42.358,65.5343,-20.82,22.940907,22.545254,1.41706,0.425118,36.94262,6.243058,93.55749,10.038251,51.80258,3.530487,4.21196e+41,2.10598e+40,5.6947e-17,,,9.51303,1.41706
287,E-zmvvd_z1_141,2,phot,53.208233,-27.676117,0.971498,77.439,66.6488,-22.96,21.998865,20.53597,5.024217,1.507265,51.373,8.099009,72.9749,9.313877,21.21547,3.333401,2.97661e+41,1.4883e+40,4.08006e-17,10.6619,1,10.36903,5.024217
288,E-zmvvd_z1_144,1,phot,53.010708,-27.667939,0.822003,1.295,52.7614,-20.29,23.374729,23.081741,0.716512,0.214954,8.15604,1.38272,84.21131,11.127635,43.81915,3.511378,4.93237e+41,2.46618e+40,1.02101e-16,,,9.301031,0.716512
292,E-zmvvd_z1_160,2,kin,53.166946,-27.635718,0.966156,67.332,46.3741,-23.73,21.367199,19.433603,5.101412,1.530424,167.297,28.846421,172.65771,28.117768,39.31378,3.614025,7.58191e+41,3.79096e+40,1.05352e-16,10.7926,1,10.67703,5.101412
293,E-zmvvd_z1_163,1,kin,53.008675,-27.630831,0.804336,-15.267,62.5586,-20.08,22.962086,22.654114,2.497831,0.749349,4.82873,3.321232,77.36939,12.470095,52.68554,3.756543,2.32128e+41,1.16064e+40,5.06901e-17,9.36047,0,9.21703,2.497831
296,E-zmvvd_z1_18,2,kin,53.133208,-27.931497,0.840689,-39.843,70.232,-21.24,22.443829,21.748985,3.160834,0.94825,71.217,14.304063,158.05838,13.116791,65.63924,4.110053,2.67456e+41,1.33728e+40,5.23828e-17,9.92968,0,9.68103,3.160834
298,E-zmvvd_z1_19,1,phot,53.144054,-27.928761,0.98266,49.46,65.815,-22.54,21.79089,21.096651,4.895118,1.468535,116.265,15.989393,116.9945,15.929633,39.78378,3.352068,2.69249e+41,1.34624e+40,3.58786e-17,10.2484,0,10.201031,4.895118
301,E-zmvvd_z1_24,2,phot,53.115583,-27.914372,0.964414,-9.423,50.9513,-22.33,22.034283,20.929985,2.911533,0.87346,154.32057,18.606106,201.49355,16.199076,46.2168,3.54136,3.62389e+41,1.81194e+40,5.05795e-17,10.4049,1,10.11703,2.911533
308,E-zmvvd_z1_52,3,phot,53.131287,-27.878137,0.980315,21.568,60.4225,-22.28,22.533138,21.554174,3.202613,0.960784,162.892,13.98085,192.76114,12.981017,54.74535,3.701061,4.79348e+41,2.39674e+40,6.42537e-17,10.2273,0,10.09703,3.202613
311,E-zmvvd_z1_57,2,phot,52.977104,-27.869745,0.863712,34.67,36.1721,-21.76,20.904819,21.730871,3.434882,1.030465,28.314,5.165415,30.88113,8.059394,24.14794,3.952702,1.89405e+41,9.47026e+39,3.47068e-17,,,9.88903,3.434882
312,E-zmvvd_z1_58,1,phot,53.019642,-27.869136,0.834729,39.888,53.5997,-21.78,22.333649,21.369915,1.210812,0.363244,71.27381,3.394898,113.532,8.961798,45.55453,3.574697,5.24995e+41,2.62498e+40,1.04641e-16,10.1854,1,9.89703,1.210812
314,E-zmvvd_z1_64,2,phot,53.095137,-27.85678,0.904534,20.995,44.9422,-22.41,21.791916,20.804052,3.622799,1.08684,165.70134,19.467477,187.08482,17.814081,43.49114,2.818341,4.35869e+41,2.17935e+40,7.12702e-17,,,10.14903,3.622799
316,E-zmvvd_z1_67,3,phot,53.016221,-27.851916,0.990851,57.14,65.975,-22.88,22.112148,21.366632,5.124263,1.537279,153.062,8.028022,168.86514,8.016283,31.80322,2.205477,5.09927e+41,2.54964e+40,6.65701e-17,10.4324,1,10.33703,5.124263
317,E-zmvvd_z1_73,1,kin,53.266133,-27.840513,0.890048,-16.17,62.6021,-23.85,20.715221,19.253534,4.602949,1.380885,154.614,26.904926,215.03019,24.362991,138.08069,4.492075,9.81643e+41,4.90821e+40,1.67034e-16,10.984,0,10.72503,4.602949
318,E-zmvvd_z1_77,2,kin,53.261365,-27.835241,0.837462,-38.509,25.1492,-23.06,21.169832,19.897333,3.148276,0.944483,154.345,27.354426,202.18408,22.026417,88.61378,3.668083,3.73171e+41,1.86586e+40,7.37837e-17,,,10.40903,3.148276
319,E-zmvvd_z1_83,1,kin,53.193838,-27.81295,0.832685,-37.308,64.2409,-20.23,22.857952,22.873417,1.454946,0.436484,56.03815,8.187023,138.43365,11.638569,48.38322,3.742053,3.12982e+41,1.56491e+40,6.27608e-17,,,9.27703,1.454947
322,S-CFHIZELS-SM14-101338,2,kin,333.51363,0.935492,0.811226,30.228,39.5406,-22.86,21.481501,20.2827,1.061482,0.489319,179.418,24.225008,191.96048,23.353638,32.69174,3.066617,6.02302e+41,3.01151e+40,1.28794e-16,,,10.32903,1.061482
323,S-CFHIZELS-SM14-104965,1,phot,335.1313,1.146348,0.807194,55.349,49.8116,-22.3,21.955,20.8033,2.949246,1.359535,171.11015,13.053022,204.71259,12.543115,49.56474,2.66614,2.14903e+41,1.07451e+40,4.65208e-17,10.0153,1,10.10503,2.949246
324,S-CFHIZELS-SM14-107086,1,phot,333.55331,0.899878,0.806316,36.497,63.5079,-22.94,21.6896,20.2491,3.730886,1.719853,186.55717,2.980801,187.45973,3.066046,35.81047,2.422866,1.26098e+41,6.30489e+39,2.73701e-17,10.4082,1,10.36103,3.730886
325,S-CFHIZELS-SM14-108670,2,phot,335.13126,1.135602,0.809225,27.96,55.8228,-22.86,22.5383,20.4408,1.058938,0.488146,224.31836,36.676418,238.92076,35.777805,70.8745,4.512268,2.18501e+41,1.09251e+40,4.70083e-17,10.806,1,10.32903,1.058938
327,S-CFHIZELS-SM14-111852,2,phot,335.12291,0.945789,0.808622,-27.012,38.9912,-22.2,22.013901,20.9559,1.058068,0.487745,127.36971,13.923228,146.06175,13.189863,28.67083,2.832336,2.12056e+41,1.06028e+40,4.57054e-17,,,10.06503,1.058068
328,S-CFHIZELS-SM14-117442,2,kin,335.12713,1.127684,0.807887,-77.581,25.8287,-22.08,21.885901,20.9997,2.093271,0.96495,185.14243,26.904387,185.20879,26.903371,26.4586,2.330603,1.71353e+41,8.56767e+39,3.70153e-17,,,10.01703,2.093271
330,S-CFHIZELS-SM14-118544,1,phot,333.51863,0.957464,0.80472,4.326,61.8613,-21.76,22.1999,21.381,2.940149,1.355342,87.93564,9.396961,142.35582,10.629301,65.82476,2.883285,2.79344e+41,1.39672e+40,6.09292e-17,9.73332,0,9.88903,2.940149
