# Sharma et al. 2021, MNRAS 503, 1753 (doi:10.1093/mnras/stab249; arXiv:2005.00279) released catalogue
# "Flat rotation curves of z~1 star-forming galaxies": 344 KROSS galaxies re-modelled with 3D-Barolo.
# SOURCE: CDS/VizieR J/MNRAS/503/1753 catalog.dat (Records=344), sha256 b91ea011fd98ceacf1b30a18123da2c4a20162d78edbf383fbff37c72b57df45;
#   cross-checked C6 against the authors' Harvard Dataverse file doi:10.7910/DVN/MHRG4O
#   (gsharma_2020_catalog.fits, md5 43037198cef3cc89376984cb76a8dd61, sha256 507c2e0834957950f30d72eb99832d95ac75f31628e412351731448be859c942).
# VIZIER LABEL DEFECT: the CDS ReadMe labels Re, Vout, VPGCout, Sigma, LHa, FHa (and their errors) as log
#   quantities ([kpc], [km/s], ...). The numbers are LINEAR: they equal the Dataverse FITS columns and Re spans
#   0.695-7.73 kpc, matching the abstract's 0.69<=R_e[kpc]<=7.76. Columns here are named as linear.
# CONVENTIONS: no cosmology statement found in the arXiv source; Re, M_H, PA, magnitudes are adopted from
#   Harrison+2017 (H0=70, Om=0.3, OL=0.7, Chabrier). Quality: 1 best, 2 reasonable, 3 discarded by the authors.
# VELOCITY: Vout_kms = 3D-Barolo rotation velocity at R_out = 6.4 R_D, R_D = 0.59 R_e (beam smearing
#   handled in 3D; paper Sec. 3.1 figure caption: R_out = R_2opt = 3.78 R_e); VPGC_out_kms = same after
#   PRESSURE-GRADIENT CORRECTION (paper Sec. 3.2):
#   V_c^PGC = sqrt(V_phi^2 - sigma_R^2 [dln Sigma/dln R + dln sigma_R^2/dln R + (1-alpha)/2]).
#   => R_out_kpc = 3.78*Re_kpc (not a column; compute downstream). Sigma_kms = weighted
#   mean intrinsic dispersion. L_Ha in erg/s (10^-7 W), F_Ha in erg/s/cm^2 (mW/m^2), no extinction correction.
# STELLAR MASS: the paper's LePhare masses (supplied by A. Tiley) are NOT in the released catalogue.
#   T19_* = JOIN to Tiley2019a KROSS rows by KID (167/344 present; SED masses, WMAP9).
#   H17_* = JOIN to Harrison+2017 by KID (344/344; fixed M/L=0.2 H-band mass, H0=70; R_1/2 kpc).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
KID,Name,Quality,Flag_PA,RAdeg,DEdeg,z,PA_deg,INC_deg,MH_AB,zmag_AB,Kmag_AB,Re_kpc,Re_err_kpc,Vout_kms,Vout_err_kms,VPGC_out_kms,VPGC_out_err_kms,Sigma_kms,Sigma_err_kms,L_Ha_erg_s,L_Ha_err_erg_s,F_Ha_erg_s_cm2,T19_logMstar_SED,T19_disky_flag,H17_logMstar_fixedML,H17_R12_kpc
39,C-HiZ_z1_297,2,kin,150.33128,2.047009,0.840623,50.834,36.1191,-22.91,21.494648,20.465263,3.708441,1.112532,228.784,24.687245,228.82329,24.683812,75.98684,3.593181,5.23718e+41,2.61859e+40,1.02593e-16,,,10.34903,3.708441
45,C-HiZ_z1_314,2,kin,150.36004,1.937142,0.83488,-60.557,42.376,-22.04,21.402775,20.945553,1.768777,0.530633,149.26064,18.229365,257.13779,14.227685,117.54837,3.544419,9.27196e+41,4.63598e+40,1.84725e-16,,,10.001031,1.768777
46,C-HiZ_z1_317,1,kin,150.36298,1.943823,0.85378,-60.677,68.8397,-22.77,21.248346,20.403522,3.951944,1.185583,150.054,17.837208,290.52305,14.505642,122.2807,3.706072,7.32992e+41,3.66496e+40,1.38198e-16,10.5475,0,10.29303,3.951944
47,C-HiZ_z1_319,2,kin,150.36726,2.056611,0.840024,-40.118,73.8672,-22.37,21.37669,20.720673,7.07452,2.122356,153.376,15.812258,159.90526,15.390298,17.63931,2.311168,1.58956e+41,7.9478e+39,3.11932e-17,10.2656,1,10.133031,7.07452
48,C-HiZ_z1_325,2,phot,150.37474,1.919405,0.837241,-45.676,28.064,-21.14,22.219326,21.841797,0.927528,0.278258,66.66338,10.591636,122.71158,10.962933,40.15734,3.45864,1.81077e+41,9.05384e+39,3.58258e-17,,,9.64103,0.927528
49,C-HiZ_z1_331,2,kin,150.38754,2.056303,0.840369,35.987,36.8922,-22.32,21.228272,20.862274,2.057836,0.617351,72.42786,10.993893,180.64746,10.777844,71.77247,3.401532,6.81677e+41,3.40838e+40,1.33636e-16,,,10.11303,2.057836
50,C-HiZ_z1_334,2,phot,150.39017,1.914446,0.843359,-11.28,39.5106,-21.34,21.582355,21.843517,1.412539,0.423762,1.62094,3.006073,361.09583,11.766886,171.78572,4.593628,1.75899e+42,8.79493e+40,3.41828e-16,,,9.72103,1.412539
51,C-HiZ_z1_340,1,kin,150.40132,1.934495,0.835544,40.982,46.7583,-22.62,21.638872,20.810005,2.22926,0.668778,152.31622,18.658495,186.34512,16.453621,68.85945,2.916686,3.20383e+41,1.60192e+40,6.3705e-17,10.4063,1,10.233031,2.22926
54,C-HiZ_z1_67,2,phot,149.82293,1.982284,0.839779,38.86,74.0586,-20.62,22.551357,22.346558,5.162378,1.548714,137.757,18.537696,171.57588,16.576226,49.58738,3.546011,1.88654e+41,9.43272e+39,3.70478e-17,9.3415,0,9.433031,5.162378
56,C-HiZ_z1_70,3,phot,149.82975,1.994837,0.847649,-77.231,64.5091,-20.06,22.654953,22.50087,1.608324,0.482497,113.62881,11.595892,131.79311,10.835408,34.1445,2.767774,4.75219e+41,2.3761e+40,9.1203e-17,9.20728,0,9.20903,1.608325
61,C-HiZ_z1_85,2,phot,149.86917,1.972209,0.837832,-19.937,41.3643,-20.41,22.577043,22.539581,0.928178,0.278453,123.92348,5.071365,225.62036,12.263872,93.20045,3.923065,5.56676e+41,2.78338e+40,1.09947e-16,,,9.34903,0.928178
63,C-HiZ_z1_90,1,phot,149.88309,2.29249,0.854809,52.955,63.3915,-20.95,22.774786,22.37744,2.561166,0.76835,45.26257,6.007391,48.68067,7.657024,43.66634,3.388449,3.83016e+41,1.91508e+40,7.19997e-17,9.32564,0,9.56503,2.561166
64,C-HiZ_z1_96,1,kin,149.88943,2.252155,0.839504,-30.176,53.1373,-21.29,22.549082,21.907398,0.930048,0.279015,23.10995,3.018342,168.59171,10.961877,73.71607,3.488643,4.09294e+41,2.04647e+40,8.04417e-17,,,9.701031,0.930048
66,C-zcos_z1_1,2,kin,150.30495,1.876348,0.906428,-62.676,38.4492,-20.42,22.590649,22.390318,4.097195,1.229159,215.797,30.633173,237.98426,28.237906,30.65335,3.445376,1.42868e+41,7.1434e+39,2.32405e-17,,,9.35303,4.097195
67,C-zcos_z1_1015,1,phot,149.9464,2.30252,0.888595,-45.938,66.9199,-23.18,21.030415,20.192356,7.291261,2.187378,281.207,38.564689,310.06042,35.267148,78.90044,2.57655,3.0367e+41,1.51835e+40,5.18807e-17,10.5152,1,10.45703,7.291261
68,C-zcos_z1_1021,2,phot,149.92085,2.306885,0.927273,25.985,63.4273,-21.74,21.897629,21.598423,3.687601,1.10628,77.877,8.100087,80.31743,8.277894,39.1385,3.392761,3.48398e+41,1.74199e+40,5.35807e-17,9.65304,0,9.88103,3.687601
